frac_removed,gcc_frac,V,Lambda,Rect,motif_drift
0.0,0.9642857142857143,0.19576719576719576,0.5965608465608465,0.20767195767195767,0.0
0.05357142857142857,0.9245283018867925,0.1736842105263158,0.6719298245614035,0.1543859649122807,0.07536897800055695
0.10714285714285714,0.92,0.1822125813449024,0.6832971800433839,0.13449023861171366,0.0867363334825374
0.16071428571428573,0.8936170212765957,0.16795865633074936,0.7157622739018088,0.11627906976744186,0.11920142734096226
0.21428571428571427,0.9090909090909091,0.16300940438871472,0.7523510971786834,0.08463949843260188,0.15579025061783686
0.26785714285714285,0.8536585365853658,0.1484375,0.7890625,0.0625,0.19250165343915346
0.32142857142857145,0.8421052631578947,0.1743119266055046,0.7522935779816514,0.07339449541284404,0.15573273142080485
0.375,0.8571428571428571,0.17587939698492464,0.7437185929648241,0.08040201005025126,0.14715774640397755
0.42857142857142855,0.8125,0.20408163265306123,0.7278911564625851,0.06802721088435375,0.13964474678760397
0.48214285714285715,0.7241379310344828,0.24761904761904763,0.6666666666666666,0.08571428571428572,0.12195767195767197
0.5357142857142857,0.6538461538461539,0.323943661971831,0.5774647887323944,0.09859154929577464,0.12817646620463521
0.5892857142857143,0.5652173913043478,0.21428571428571427,0.75,0.03571428571428571,0.17195767195767198
0.6,0.5,0.16666666666666666,0.8333333333333334,0.0,0.2367724867724868
