frac_removed,gcc_frac,V,Lambda,Rect,motif_drift
0.0,0.9622641509433962,0.3363309352517986,0.43345323741007197,0.2302158273381295,0.0
0.05660377358490566,0.78,0.4879518072289157,0.3614457831325301,0.15060240963855423,0.1516208719771171
0.11320754716981132,0.5957446808510638,0.5229357798165137,0.3669724770642202,0.11009174311926606,0.18660484456471518
0.16981132075471697,0.36363636363636365,0.5588235294117647,0.4117647058823529,0.029411764705882353,0.22249259415996617
0.22641509433962265,0.17073170731707318,0.7,0.25,0.05,0.3636690647482015
0.2830188679245283,0.13157894736842105,0.6153846153846154,0.3076923076923077,0.07692307692307693,0.27905368013281684
0.33962264150943394,0.11428571428571428,0.4,0.4,0.2,0.06366906474820144
0.39622641509433965,0.0625,0.0,0.0,0.0,1.0
0.4528301886792453,0.06896551724137931,0.0,0.0,0.0,1.0
0.5094339622641509,0.07692307692307693,0.0,0.0,0.0,1.0
0.5660377358490566,0.08695652173913043,0.0,0.0,0.0,1.0
0.6,0.1,0.0,0.0,0.0,1.0
