frac_removed,gcc_frac,V,Lambda,Rect,motif_drift
0.0,1.0,0.15714822468532783,0.2580311854217546,0.5848205898929175,0.0
0.05,1.0,0.1759075522353216,0.25306408310960665,0.5710283646550718,0.018759327549993737
0.1,0.9861111111111112,0.17916666666666667,0.2443627450980392,0.5764705882352941,0.022018441981338857
0.15,0.9852941176470589,0.17677031617454925,0.2392213221844787,0.584008361640972,0.019622091489221425
0.2,0.96875,0.17537873618124744,0.23160911696465128,0.5930121468541013,0.026422068457103376
0.25,0.95,0.18291002165780665,0.25890923410120104,0.5581807442409923,0.02663984565192523
0.3,0.9821428571428571,0.17951759588770264,0.25998418347172797,0.5604982206405694,0.024322369252348125
0.35,0.9807692307692307,0.19543077346545554,0.2675474814203138,0.5370217451142306,0.0477988447786869
0.4,0.9583333333333334,0.17993730407523512,0.2818181818181818,0.538244514106583,0.04657607578633448
0.45,0.9318181818181818,0.1782573940847322,0.3041566746602718,0.517585931254996,0.06723465863792155
0.5,0.925,0.19030428055698814,0.30943785456420836,0.5002578648788035,0.08456272501411402
0.55,0.9166666666666666,0.21568627450980393,0.27767235926628714,0.5066413662239089,0.07817922366900863
0.6,0.90625,0.26427879961277834,0.2691190706679574,0.4666021297192643,0.11821846017365327
