frac_removed,gcc_frac,V,Lambda,Rect,motif_drift
0.0,0.9473684210526315,0.6201923076923077,0.3076923076923077,0.07211538461538461,0.0
0.05263157894736842,0.3611111111111111,0.7272727272727273,0.2727272727272727,0.0,0.1070804195804196
0.10526315789473684,0.17647058823529413,0.375,0.625,0.0,0.3173076923076923
0.15789473684210525,0.09375,0.5,0.5,0.0,0.1923076923076923
0.21052631578947367,0.06666666666666667,0.0,0.0,0.0,1.0
0.2631578947368421,0.0,0.0,0.0,0.0,1.0
0.3157894736842105,0.0,0.0,0.0,0.0,1.0
0.3684210526315789,0.0,0.0,0.0,0.0,1.0
0.42105263157894735,0.0,0.0,0.0,0.0,1.0
0.47368421052631576,0.0,0.0,0.0,0.0,1.0
0.5263157894736842,0.0,0.0,0.0,0.0,1.0
0.5789473684210527,0.0,0.0,0.0,0.0,1.0
0.6,0.0,0.0,0.0,0.0,1.0
