frac_removed,gcc_frac,V,Lambda,Rect,motif_drift
0.0,1.0,0.44995408631772266,0.33884297520661155,0.21120293847566574,0.0
0.05333333333333334,0.7887323943661971,0.6493055555555556,0.28125,0.06944444444444445,0.19935146923783287
0.10666666666666667,0.373134328358209,0.5208333333333334,0.4583333333333333,0.020833333333333332,0.19036960514233245
0.16,0.07936507936507936,0.4666666666666667,0.5333333333333333,0.0,0.21120293847566576
0.21333333333333335,0.06779661016949153,0.5,0.5,0.0,0.21120293847566576
0.26666666666666666,0.05454545454545454,0.0,1.0,0.0,0.6611570247933884
0.32,0.0392156862745098,0.0,0.0,0.0,1.0
0.37333333333333335,0.0,0.0,0.0,0.0,1.0
0.4266666666666667,0.0,0.0,0.0,0.0,1.0
0.48,0.0,0.0,0.0,0.0,1.0
0.5333333333333333,0.0,0.0,0.0,0.0,1.0
0.5866666666666667,0.0,0.0,0.0,0.0,1.0
0.6,0.0,0.0,0.0,0.0,1.0
