frac_removed,gcc_frac,V,Lambda,Rect,motif_drift
0.0,0.8648648648648649,0.6026490066225165,0.31788079470198677,0.07947019867549669,0.0
0.05405405405405406,0.7142857142857143,0.4931506849315068,0.410958904109589,0.0958904109589041,0.10949832169100968
0.10810810810810811,0.3333333333333333,0.5897435897435898,0.28205128205128205,0.1282051282051282,0.0487349295296315
0.16216216216216217,0.1935483870967742,0.8,0.2,0.0,0.1973509933774835
0.21621621621621623,0.1724137931034483,0.8,0.2,0.0,0.1973509933774835
0.2702702702702703,0.1111111111111111,1.0,0.0,0.0,0.3973509933774835
0.32432432432432434,0.08,0.0,0.0,0.0,1.0
0.3783783783783784,0.08695652173913043,0.0,0.0,0.0,1.0
0.43243243243243246,0.09523809523809523,0.0,0.0,0.0,1.0
0.4864864864864865,0.10526315789473684,0.0,0.0,0.0,1.0
0.5405405405405406,0.0,0.0,0.0,0.0,1.0
0.5945945945945946,0.0,0.0,0.0,0.0,1.0
0.6,0.0,0.0,0.0,0.0,1.0
