frac_removed,gcc_frac,V,Lambda,Rect,motif_drift
0.0,1.0,0.860832137733142,0.06886657101865136,0.0703012912482066,0.0
0.047619047619047616,1.0,0.8545727136431784,0.07196401799100449,0.0734632683658171,0.006259424089963619
0.09523809523809523,0.9824561403508771,0.8436482084690554,0.07654723127035831,0.07980456026058631,0.01718392926408665
0.14285714285714285,1.0,0.841726618705036,0.08273381294964029,0.07553956834532374,0.01910551902810608
0.19047619047619047,1.0,0.8316831683168316,0.0891089108910891,0.07920792079207921,0.02914896941631038
0.23809523809523808,0.9791666666666666,0.8351648351648352,0.08791208791208792,0.07692307692307693,0.025667302568306863
0.2857142857142857,0.9333333333333333,0.8404255319148937,0.08776595744680851,0.07180851063829788,0.020406605818248408
0.3333333333333333,0.6904761904761905,0.8333333333333334,0.14583333333333334,0.020833333333333332,0.07696676231468196
0.38095238095238093,0.6410256410256411,0.8275862068965517,0.14942528735632185,0.022988505747126436,0.0805587163376705
0.42857142857142855,0.6111111111111112,0.8382352941176471,0.14705882352941177,0.014705882352941176,0.0781922525107604
0.47619047619047616,0.5757575757575758,0.8392857142857143,0.14285714285714285,0.017857142857142856,0.07399057183849149
0.5238095238095238,0.4666666666666667,0.825,0.15,0.025,0.08113342898134866
0.5714285714285714,0.4074074074074074,0.8571428571428571,0.10714285714285714,0.03571428571428571,0.038276286124205805
0.6,0.25,0.9090909090909091,0.09090909090909091,0.0,0.07030129124820658
