frac_removed,gcc_frac,V,Lambda,Rect,motif_drift
0.0,0.8421052631578947,0.6842105263157895,0.2631578947368421,0.05263157894736842,0.0
0.05263157894736842,0.6666666666666666,0.7272727272727273,0.22727272727272727,0.045454545454545456,0.043062200956937795
0.10526315789473684,0.5294117647058824,0.8333333333333334,0.16666666666666666,0.0,0.14912280701754388
0.15789473684210525,0.25,1.0,0.0,0.0,0.31578947368421056
0.21052631578947367,0.2,1.0,0.0,0.0,0.31578947368421056
0.2631578947368421,0.14285714285714285,0.0,0.0,0.0,1.0
0.3157894736842105,0.0,0.0,0.0,0.0,1.0
0.3684210526315789,0.0,0.0,0.0,0.0,1.0
0.42105263157894735,0.0,0.0,0.0,0.0,1.0
0.47368421052631576,0.0,0.0,0.0,0.0,1.0
0.5263157894736842,0.0,0.0,0.0,0.0,1.0
0.5789473684210527,0.0,0.0,0.0,0.0,1.0
0.6,0.0,0.0,0.0,0.0,1.0
