frac_removed,gcc_frac,V,Lambda,Rect,motif_drift
0.0,1.0,0.2179203539823009,0.5486725663716814,0.2334070796460177,0.0
0.046875,1.0,0.2290167865707434,0.5359712230215827,0.23501199040767387,0.012701343350098662
0.09375,0.9827586206896551,0.24174174174174173,0.5465465465465466,0.21171171171171171,0.02382138775944083
0.140625,0.9090909090909091,0.2506393861892583,0.5882352941176471,0.16112531969309463,0.07228175995292309
0.1875,0.9038461538461539,0.2403846153846154,0.6217948717948718,0.13782051282051283,0.0955865668255049
0.234375,0.8571428571428571,0.2459016393442623,0.6352459016393442,0.11885245901639344,0.11455462062962427
0.28125,0.7608695652173914,0.23214285714285715,0.6428571428571429,0.125,0.10840707964601776
0.328125,0.7209302325581395,0.24475524475524477,0.6363636363636364,0.11888111888111888,0.11452596076489883
0.375,0.6,0.25688073394495414,0.6238532110091743,0.11926605504587157,0.11414102460014618
0.421875,0.5135135135135135,0.23333333333333334,0.7,0.06666666666666667,0.16674041297935105
0.46875,0.5,0.20754716981132076,0.7169811320754716,0.07547169811320754,0.1683085657037903
0.515625,0.5483870967741935,0.19230769230769232,0.7307692307692307,0.07692307692307693,0.18209666439754935
0.5625,0.6071428571428571,0.19230769230769232,0.7307692307692307,0.07692307692307693,0.18209666439754935
0.6,0.6,0.1891891891891892,0.7567567567567568,0.05405405405405406,0.20808419038507536
