frac_removed,gcc_frac,V,Lambda,Rect,motif_drift
0.0,1.0,0.38701298701298703,0.35324675324675325,0.2597402597402597,0.0
0.05714285714285714,0.9090909090909091,0.3939393939393939,0.3888888888888889,0.21717171717171718,0.04256854256854253
0.11428571428571428,0.8387096774193549,0.4567901234567901,0.4444444444444444,0.09876543209876543,0.16097482764149426
0.17142857142857143,0.4827586206896552,0.42857142857142855,0.5714285714285714,0.0,0.2597402597402597
0.22857142857142856,0.25925925925925924,0.4,0.6,0.0,0.2597402597402597
0.2857142857142857,0.16,0.6,0.4,0.0,0.2597402597402597
0.34285714285714286,0.13043478260869565,1.0,0.0,0.0,0.612987012987013
0.4,0.09523809523809523,0.0,0.0,0.0,1.0
0.45714285714285713,0.10526315789473684,0.0,0.0,0.0,1.0
0.5142857142857142,0.11764705882352941,0.0,0.0,0.0,1.0
0.5714285714285714,0.13333333333333333,0.0,0.0,0.0,1.0
0.6,0.0,0.0,0.0,0.0,1.0
