frac_removed,gcc_frac,V,Lambda,Rect,motif_drift
0.0,1.0,0.4184466019417476,0.32815533980582523,0.25339805825242717,0.0
0.05,0.9824561403508771,0.4205607476635514,0.32009345794392524,0.25934579439252337,0.008061881861899989
0.1,0.9074074074074074,0.453125,0.3203125,0.2265625,0.0346783980582524
0.15,0.9215686274509803,0.4728171334431631,0.2981878088962109,0.22899505766062603,0.054370531501415506
0.2,0.9166666666666666,0.5237154150197628,0.2707509881422925,0.20553359683794467,0.10526881307801524
0.25,0.8888888888888888,0.533498759305211,0.2853598014888337,0.18114143920595532,0.11505215736346336
0.3,0.9047619047619048,0.5393939393939394,0.3181818181818182,0.14242424242424243,0.12094733745219181
0.35,0.9230769230769231,0.5615141955835962,0.2902208201892745,0.14826498422712933,0.14306759364184857
0.4,0.9166666666666666,0.6171003717472119,0.24907063197026022,0.13382899628252787,0.19865376980546431
0.45,0.9393939393939394,0.6637931034482759,0.22413793103448276,0.11206896551724138,0.2453465015065283
0.5,0.9333333333333333,0.6363636363636364,0.24598930481283424,0.11764705882352941,0.21791703442188876
0.55,0.8148148148148148,0.7669902912621359,0.17475728155339806,0.05825242718446602,0.3485436893203883
0.6,0.4583333333333333,0.5294117647058824,0.4117647058823529,0.058823529411764705,0.19457452884066248
