frac_removed,gcc_frac,V,Lambda,Rect,motif_drift
0.0,0.8529411764705882,0.49523809523809526,0.3904761904761905,0.11428571428571428,0.0
0.058823529411764705,0.78125,0.5428571428571428,0.45714285714285713,0.0,0.11428571428571424
0.11764705882352941,0.23333333333333334,0.55,0.45,0.0,0.1142857142857143
0.17647058823529413,0.25,0.625,0.375,0.0,0.12976190476190474
0.23529411764705882,0.11538461538461539,0.75,0.25,0.0,0.25476190476190474
0.29411764705882354,0.125,0.5,0.5,0.0,0.11428571428571427
0.35294117647058826,0.09090909090909091,0.0,0.0,0.0,1.0
0.4117647058823529,0.1,0.0,0.0,0.0,1.0
0.47058823529411764,0.1111111111111111,0.0,0.0,0.0,1.0
0.5294117647058824,0.0,0.0,0.0,0.0,1.0
0.5882352941176471,0.0,0.0,0.0,0.0,1.0
0.6,0.0,0.0,0.0,0.0,1.0
