frac_removed,gcc_frac,V,Lambda,Rect,motif_drift
0.0,1.0,0.13047068538398018,0.7109826589595376,0.15854665565648224,0.0
0.05333333333333334,0.9295774647887324,0.11836283185840708,0.75,0.13163716814159293,0.0390173410404624
0.10666666666666667,0.9253731343283582,0.12636695018226002,0.7399756986634265,0.1336573511543135,0.028993039703888904
0.16,0.9206349206349206,0.12584573748308525,0.7361299052774019,0.13802435723951287,0.025147246317864275
0.21333333333333335,0.8983050847457628,0.11582381729200653,0.7569331158238173,0.1272430668841762,0.04595045686427969
0.26666666666666666,0.8727272727272727,0.12757201646090535,0.7551440329218106,0.11728395061728394,0.044161373962273084
0.32,0.8627450980392157,0.13752913752913754,0.7296037296037297,0.13286713286713286,0.025679522789349388
0.37333333333333335,0.851063829787234,0.125,0.7761627906976745,0.09883720930232558,0.06518013173813686
0.4266666666666667,0.8372093023255814,0.11450381679389313,0.8206106870229007,0.0648854961832061,0.10962802806336316
0.48,0.8461538461538461,0.14218009478672985,0.7772511848341233,0.08056872037914692,0.07797793527733532
0.5333333333333333,0.8,0.16875,0.75,0.08125,0.07729665565648222
0.5866666666666667,0.6774193548387096,0.08181818181818182,0.8909090909090909,0.02727272727272727,0.1799264319495533
0.6,0.6666666666666666,0.08602150537634409,0.8817204301075269,0.03225806451612903,0.17073777114798927
