Source,Target,Weight
Acrididae (Menorca),Asteraceae (Menorca),2
Adelidae (Barai),Plantaginaceae (Barai),1
Adelidae (Borsa-Catun),Caprifoliaceae (Borsa-Catun),1
Adelidae (Cheile Turzii),Caprifoliaceae (Cheile Turzii),1
Adelidae (Côte d'or),Brassicaceae (Côte d'or),2
Adelidae (Horbylunde_2005),Salicaceae (Horbylunde_2005),4
Adelidae (Isen_Bjerg_2005),Salicaceae (Isen_Bjerg_2005),2
Adelidae (Skov_Olesen_2004),Salicaceae (Skov_Olesen_2004),6
Agromyzidae (Scania),Ranunculaceae (Scania),5
Alydidae (Sierra de Guadarrama),Asteraceae (Sierra de Guadarrama),1
Andrenidae (Allersdorf),Asteraceae (Allersdorf),1
Andrenidae (AloeVera),Cistaceae (AloeVera),2
Andrenidae (Along south-eastern Ireland),Apiaceae (Along south-eastern Ireland),3
Andrenidae (Anafi),Asparagaceae (Anafi),2
Andrenidae (Anafi),Asteraceae (Anafi),15
Andrenidae (Anafi),Brassicaceae (Anafi),2
Andrenidae (Anafi),Crassulaceae (Anafi),1
Andrenidae (Anderlues),Asteraceae (Anderlues),2
Andrenidae (Anderlues),Fabaceae (Anderlues),1
Andrenidae (Antoing),Apiaceae (Antoing),2
Andrenidae (Aschersleben),Apiaceae (Aschersleben),5
Andrenidae (Aschersleben),Asteraceae (Aschersleben),16
Andrenidae (Aschersleben),Caprifoliaceae (Aschersleben),1
Andrenidae (Aschersleben),Cornaceae (Aschersleben),4
Andrenidae (Aschersleben),Fabaceae (Aschersleben),2
Andrenidae (Aschersleben),Geraniaceae (Aschersleben),1
Andrenidae (Aznalcazar),Cistaceae (Aznalcazar),22
Andrenidae (Badesti),Apiaceae (Badesti),2
Andrenidae (Badesti),Asteraceae (Badesti),1
Andrenidae (Badesti),Fabaceae (Badesti),2
Andrenidae (Baisoara),Caprifoliaceae (Baisoara),1
Andrenidae (Barai),Apiaceae (Barai),3
Andrenidae (Barai),Asteraceae (Barai),1
Andrenidae (Barai),Fabaceae (Barai),2
Andrenidae (Bassano del Grappa),Apiaceae (Bassano del Grappa),1
Andrenidae (Bassano del Grappa),Asteraceae (Bassano del Grappa),2
Andrenidae (Beloeil),Asteraceae (Beloeil),3
Andrenidae (Berchtesgaden National Park),Asteraceae (Berchtesgaden National Park),8
Andrenidae (Berchtesgaden National Park),Brassicaceae (Berchtesgaden National Park),4
Andrenidae (Berchtesgaden National Park),Orobanchaceae (Berchtesgaden National Park),2
Andrenidae (Berchtesgaden National Park),Parnassiaceae (Berchtesgaden National Park),1
Andrenidae (Berchtesgaden National Park),Plantaginaceae (Berchtesgaden National Park),1
Andrenidae (Berchtesgaden National Park),Ranunculaceae (Berchtesgaden National Park),8
Andrenidae (Berchtesgaden National Park),Rosaceae (Berchtesgaden National Park),2
Andrenidae (Bindlacher Berg),Asteraceae (Bindlacher Berg),1
Andrenidae (Bindlacher Berg),Fabaceae (Bindlacher Berg),1
Andrenidae (Bindlacher Berg),Plantaginaceae (Bindlacher Berg),1
Andrenidae (Blandas),Apiaceae (Blandas),2
Andrenidae (Blandas),Asparagaceae (Blandas),1
Andrenidae (Blandas),Asteraceae (Blandas),14
Andrenidae (Blandas),Boraginaceae (Blandas),1
Andrenidae (Blandas),Brassicaceae (Blandas),6
Andrenidae (Blandas),Buxaceae (Blandas),22
Andrenidae (Blandas),Campanulaceae (Blandas),1
Andrenidae (Blandas),Caprifoliaceae (Blandas),1
Andrenidae (Blandas),Cistaceae (Blandas),10
Andrenidae (Blandas),Fabaceae (Blandas),12
Andrenidae (Blandas),Grossulariaceae (Blandas),1
Andrenidae (Blandas),Lamiaceae (Blandas),5
Andrenidae (Blandas),Linaceae (Blandas),1
Andrenidae (Blandas),Orchidaceae (Blandas),1
Andrenidae (Blandas),Plantaginaceae (Blandas),4
Andrenidae (Blandas),Polygalaceae (Blandas),1
Andrenidae (Blandas),Ranunculaceae (Blandas),11
Andrenidae (Blandas),Resedaceae (Blandas),2
Andrenidae (Blandas),Rosaceae (Blandas),40
Andrenidae (Bonares),Apiaceae (Bonares),2
Andrenidae (Bonares),Asteraceae (Bonares),2
Andrenidae (Bonares),Cistaceae (Bonares),11
Andrenidae (Bonares),Lamiaceae (Bonares),3
Andrenidae (Borgo Valsugana),Asteraceae (Borgo Valsugana),1
Andrenidae (Borgo Valsugana),Caprifoliaceae (Borgo Valsugana),1
Andrenidae (Borgo Valsugana),Fabaceae (Borgo Valsugana),3
Andrenidae (Borgo Valsugana),Ranunculaceae (Borgo Valsugana),1
Andrenidae (Borgo Valsugana),Scrophulariaceae (Borgo Valsugana),1
Andrenidae (Borgoricco),Apiaceae (Borgoricco),19
Andrenidae (Borgoricco),Asteraceae (Borgoricco),60
Andrenidae (Borgoricco),Fabaceae (Borgoricco),51
Andrenidae (Borgoricco),Oxalidaceae (Borgoricco),1
Andrenidae (Borgoricco),Rosaceae (Borgoricco),61
Andrenidae (Borsa-Catun),Asteraceae (Borsa-Catun),3
Andrenidae (Borsa-Catun),Fabaceae (Borsa-Catun),2
Andrenidae (Borsa-Catun),Lamiaceae (Borsa-Catun),1
Andrenidae (Bosco Chiesanuova),Crassulaceae (Bosco Chiesanuova),1
Andrenidae (Boussu),Asteraceae (Boussu),5
Andrenidae (Boussu),Fabaceae (Boussu),13
Andrenidae (Braine-le-Comte),Ericaceae (Braine-le-Comte),7
Andrenidae (Braine-le-Comte),Ranunculaceae (Braine-le-Comte),1
Andrenidae (Buch),Apiaceae (Buch),2
Andrenidae (Buch),Asteraceae (Buch),4
Andrenidae (Buch),Fabaceae (Buch),1
Andrenidae (Buch),Plantaginaceae (Buch),1
Andrenidae (Bulach),Asteraceae (Bulach),14
Andrenidae (Bulach),Fabaceae (Bulach),5
Andrenidae (Bulach),Ranunculaceae (Bulach),1
Andrenidae (Camisano Vicentino),Apiaceae (Camisano Vicentino),55
Andrenidae (Camisano Vicentino),Asteraceae (Camisano Vicentino),26
Andrenidae (Camisano Vicentino),Brassicaceae (Camisano Vicentino),2
Andrenidae (Camisano Vicentino),Cucurbitaceae (Camisano Vicentino),21
Andrenidae (Camisano Vicentino),Fabaceae (Camisano Vicentino),74
Andrenidae (Camisano Vicentino),Rosaceae (Camisano Vicentino),3
Andrenidae (Camisano Vicentino),Scrophulariaceae (Camisano Vicentino),1
Andrenidae (CanRefila),Asphodelaceae (CanRefila),4
Andrenidae (CanRefila),Cistaceae (CanRefila),8
Andrenidae (CanVolaVola),Cistaceae (CanVolaVola),1
Andrenidae (CanVolaVola),Lamiaceae (CanVolaVola),8
Andrenidae (Canal San Bovo),Asteraceae (Canal San Bovo),2
Andrenidae (Canal San Bovo),Fabaceae (Canal San Bovo),1
Andrenidae (Cap de Creus Natural Park),Aizoaceae (Cap de Creus Natural Park),3
Andrenidae (Cap de Creus Natural Park),Asteraceae (Cap de Creus Natural Park),68
Andrenidae (Cap de Creus Natural Park),Brassicaceae (Cap de Creus Natural Park),1
Andrenidae (Cap de Creus Natural Park),Cistaceae (Cap de Creus Natural Park),41
Andrenidae (Cap de Creus Natural Park),Fabaceae (Cap de Creus Natural Park),1
Andrenidae (Cap de Creus Natural Park),Lamiaceae (Cap de Creus Natural Park),1
Andrenidae (Cap de Creus Natural Park),Thymelaeaceae (Cap de Creus Natural Park),1
Andrenidae (CarrerBetlem),Cistaceae (CarrerBetlem),16
Andrenidae (Charleroi),Asteraceae (Charleroi),1
Andrenidae (Charleroi),Fabaceae (Charleroi),4
Andrenidae (Cheile Turzii),Asparagaceae (Cheile Turzii),2
Andrenidae (Chios),Apiaceae (Chios),50
Andrenidae (Chios),Asteraceae (Chios),32
Andrenidae (Chios),Brassicaceae (Chios),2
Andrenidae (Chios),Cistaceae (Chios),10
Andrenidae (Chios),Fabaceae (Chios),3
Andrenidae (Chios),Lamiaceae (Chios),8
Andrenidae (Chize),Apiaceae (Chize),18
Andrenidae (Chize),Asteraceae (Chize),41
Andrenidae (Chize),Caprifoliaceae (Chize),2
Andrenidae (Chize),Fabaceae (Chize),20
Andrenidae (Chize),Geraniaceae (Chize),1
Andrenidae (Chize),Malvaceae (Chize),1
Andrenidae (Chize),Resedaceae (Chize),4
Andrenidae (Ciply),Apiaceae (Ciply),8
Andrenidae (Ciply),Asteraceae (Ciply),7
Andrenidae (Coimbra),Ericaceae (Coimbra),3
Andrenidae (Coimbra),Hydrangeaceae (Coimbra),67
Andrenidae (Coimbra),Oxalidaceae (Coimbra),4
Andrenidae (Coimbra),Plumbaginaceae (Coimbra),1
Andrenidae (Coimbra),Rosaceae (Coimbra),89
Andrenidae (Coimbra),Solanaceae (Coimbra),3
Andrenidae (Coimbra),Verbenaceae (Coimbra),7
Andrenidae (Colfontaine),Asteraceae (Colfontaine),4
Andrenidae (Colle Santa Lucia),Ranunculaceae (Colle Santa Lucia),1
Andrenidae (Coltesti),Apiaceae (Coltesti),1
Andrenidae (Coltesti),Asteraceae (Coltesti),1
Andrenidae (Coltesti),Caprifoliaceae (Coltesti),4
Andrenidae (Coltesti),Fabaceae (Coltesti),5
Andrenidae (Cordenons),Plantaginaceae (Cordenons),1
Andrenidae (Costabissara),Campanulaceae (Costabissara),2
Andrenidae (Costabissara),Caprifoliaceae (Costabissara),3
Andrenidae (Costabissara),Fabaceae (Costabissara),6
Andrenidae (Costabissara),Geraniaceae (Costabissara),1
Andrenidae (Costabissara),Rosaceae (Costabissara),1
Andrenidae (Cotito_de_santa_teresa),Lamiaceae (Cotito_de_santa_teresa),1
Andrenidae (Courcelles),Asteraceae (Courcelles),1
Andrenidae (Côte d'or),Apiaceae (Côte d'or),7
Andrenidae (Côte d'or),Asteraceae (Côte d'or),26
Andrenidae (Côte d'or),Brassicaceae (Côte d'or),67
Andrenidae (Côte d'or),Caprifoliaceae (Côte d'or),1
Andrenidae (Côte d'or),Caryophyllaceae (Côte d'or),5
Andrenidae (Côte d'or),Cornaceae (Côte d'or),2
Andrenidae (Côte d'or),Cucurbitaceae (Côte d'or),1
Andrenidae (Côte d'or),Euphorbiaceae (Côte d'or),1
Andrenidae (Côte d'or),Fabaceae (Côte d'or),27
Andrenidae (Côte d'or),Geraniaceae (Côte d'or),2
Andrenidae (Côte d'or),Hydrangeaceae (Côte d'or),1
Andrenidae (Côte d'or),Papaveraceae (Côte d'or),5
Andrenidae (Côte d'or),Plantaginaceae (Côte d'or),24
Andrenidae (Côte d'or),Ranunculaceae (Côte d'or),2
Andrenidae (Côte d'or),Rosaceae (Côte d'or),6
Andrenidae (Côte d'or),Rubiaceae (Côte d'or),3
Andrenidae (Côte d'or),Salicaceae (Côte d'or),2
