nodes_removed,number_of_strongly_connected_components,largest_strongly_connected_component_size,largest_strongly_connected_component_average_path_length,average_degree,average_weighted_degree,degree_distribution,weighted_degree_distribution
10,8,63,1.5108750841570795,4.0,15.857142857142858,"{11: 5, 6: 2, 2: 12, 5: 5, 1: 17, 0: 7, 4: 6, 3: 5, 10: 4, 14: 2, 8: 1, 7: 2, 9: 2}","{30: 1, 15: 2, 2: 12, 10: 1, 7: 3, 0: 7, 1: 10, 4: 2, 14: 1, 28: 2, 43: 1, 155: 1, 40: 2, 5: 3, 38: 2, 21: 1, 3: 6, 25: 2, 18: 1, 11: 1, 83: 1, 47: 1, 46: 1, 36: 1, 42: 1, 115: 1, 22: 1, 13: 1, 16: 1}"
11,9,61,1.521674661043729,3.739130434782609,14.927536231884059,"{11: 1, 6: 3, 2: 13, 5: 4, 1: 16, 0: 8, 4: 7, 3: 4, 10: 5, 14: 1, 8: 2, 7: 1, 9: 3, 13: 1}","{30: 1, 15: 1, 2: 12, 10: 2, 7: 2, 0: 8, 1: 9, 4: 3, 14: 1, 28: 2, 43: 1, 155: 1, 5: 3, 38: 2, 21: 1, 3: 6, 25: 2, 18: 1, 83: 1, 42: 2, 34: 1, 39: 1, 113: 1, 27: 1, 22: 1, 13: 2, 12: 1}"
12,9,60,1.5644069426395473,3.6470588235294117,14.029411764705882,"{11: 1, 6: 3, 2: 14, 5: 3, 1: 16, 0: 8, 4: 6, 3: 4, 10: 5, 14: 1, 8: 4, 7: 1, 9: 1, 12: 1}","{30: 1, 15: 1, 2: 12, 10: 3, 7: 2, 0: 8, 1: 9, 4: 3, 14: 1, 28: 2, 43: 1, 155: 1, 5: 3, 21: 1, 3: 6, 25: 2, 18: 1, 38: 1, 63: 1, 42: 2, 34: 1, 37: 1, 111: 1, 27: 1, 11: 1, 13: 1, 12: 1}"
13,10,58,1.6337413209034186,3.373134328358209,13.343283582089553,"{6: 2, 2: 15, 5: 3, 1: 15, 0: 9, 4: 6, 3: 4, 10: 3, 14: 1, 8: 3, 7: 3, 11: 1, 9: 2}","{15: 1, 2: 12, 10: 1, 7: 1, 0: 9, 1: 9, 4: 3, 14: 1, 28: 2, 43: 1, 155: 1, 5: 2, 21: 1, 3: 7, 25: 2, 18: 1, 38: 1, 9: 1, 61: 1, 34: 2, 41: 1, 6: 1, 35: 1, 111: 1, 26: 1, 11: 2, 12: 1}"
14,11,56,1.6281429131437675,3.272727272727273,13.242424242424242,"{6: 3, 2: 15, 1: 14, 0: 10, 4: 6, 3: 4, 10: 2, 14: 1, 5: 2, 8: 3, 7: 3, 9: 2, 11: 1}","{15: 1, 2: 12, 7: 1, 0: 10, 1: 8, 4: 3, 14: 1, 28: 2, 43: 1, 155: 1, 5: 2, 21: 1, 3: 7, 25: 2, 18: 1, 38: 1, 9: 1, 61: 1, 33: 1, 36: 1, 6: 1, 32: 1, 35: 1, 111: 1, 26: 1, 11: 1, 10: 1, 12: 1}"
15,11,55,1.707895367214878,3.0153846153846153,12.584615384615384,"{6: 3, 2: 13, 1: 16, 0: 10, 4: 5, 3: 5, 14: 1, 10: 2, 5: 4, 8: 3, 7: 2, 9: 1}","{15: 1, 2: 11, 7: 1, 0: 10, 1: 10, 4: 4, 14: 1, 43: 1, 155: 1, 5: 2, 21: 1, 3: 6, 25: 1, 28: 1, 18: 1, 38: 1, 9: 2, 60: 1, 32: 1, 35: 1, 30: 1, 34: 1, 110: 1, 26: 1, 11: 1, 10: 1, 12: 1}"
16,12,53,1.7462713894814192,2.84375,11.90625,"{6: 3, 2: 13, 1: 15, 0: 11, 4: 6, 3: 6, 14: 1, 10: 1, 5: 3, 8: 3, 9: 2}","{15: 1, 2: 11, 7: 1, 0: 11, 1: 10, 4: 4, 14: 1, 43: 1, 155: 1, 5: 2, 21: 1, 3: 5, 25: 1, 18: 1, 38: 1, 8: 1, 60: 1, 31: 1, 33: 1, 30: 1, 22: 1, 104: 1, 26: 1, 11: 1, 10: 1, 9: 2}"
17,13,51,1.715061394795141,2.761904761904762,11.936507936507937,"{6: 3, 2: 14, 1: 14, 0: 12, 4: 5, 3: 5, 14: 1, 10: 1, 5: 3, 8: 3, 9: 1, 7: 1}","{15: 1, 2: 10, 7: 1, 0: 12, 1: 10, 4: 3, 14: 1, 43: 1, 155: 1, 5: 1, 21: 2, 3: 6, 25: 1, 18: 1, 38: 1, 8: 1, 60: 1, 31: 1, 33: 1, 30: 1, 104: 1, 26: 1, 11: 1, 9: 3}"
18,16,47,1.733435091316439,2.6129032258064515,10.193548387096774,"{6: 2, 2: 13, 0: 15, 1: 12, 4: 3, 3: 7, 14: 1, 10: 1, 5: 3, 8: 3, 9: 1, 7: 1}","{15: 1, 2: 9, 0: 15, 1: 10, 4: 4, 14: 1, 43: 1, 155: 1, 21: 2, 3: 6, 25: 1, 6: 1, 8: 1, 31: 1, 33: 1, 30: 1, 104: 1, 26: 1, 11: 1, 9: 3}"
19,17,45,1.7105479953326843,2.5901639344262297,10.0,"{6: 2, 2: 13, 0: 16, 1: 11, 4: 3, 14: 1, 10: 1, 3: 6, 5: 3, 8: 3, 9: 1, 7: 1}","{15: 1, 2: 9, 0: 16, 1: 9, 4: 5, 43: 1, 155: 1, 21: 2, 3: 6, 25: 1, 6: 1, 8: 1, 31: 1, 33: 1, 30: 1, 104: 1, 26: 1, 9: 3}"
20,18,43,1.6998655212984641,2.4,9.866666666666667,"{5: 4, 2: 14, 0: 17, 1: 11, 4: 3, 13: 1, 9: 2, 3: 4, 8: 3, 6: 1}","{14: 1, 2: 11, 0: 17, 1: 8, 4: 5, 41: 1, 153: 1, 21: 2, 25: 1, 5: 1, 3: 4, 8: 1, 31: 1, 33: 1, 30: 1, 104: 1, 26: 1, 9: 2}"
21,18,42,2.089123942259831,2.135593220338983,4.8474576271186445,"{5: 3, 2: 15, 0: 17, 1: 11, 4: 3, 13: 1, 3: 5, 8: 2, 7: 2}","{14: 1, 2: 11, 0: 17, 1: 8, 4: 5, 41: 1, 21: 2, 25: 1, 5: 1, 3: 5, 12: 1, 28: 1, 10: 1, 16: 1, 15: 1, 6: 1, 7: 1}"
22,18,41,2.11700493612079,2.0344827586206895,4.517241379310345,"{4: 4, 2: 15, 0: 17, 1: 11, 12: 1, 3: 5, 7: 3, 5: 1, 8: 1}","{13: 1, 2: 11, 0: 17, 1: 8, 4: 5, 39: 1, 19: 1, 18: 1, 5: 1, 3: 5, 28: 1, 21: 1, 10: 1, 16: 1, 15: 1, 6: 1, 7: 1}"
23,20,38,2.1854340242498136,1.7894736842105263,4.0701754385964914,"{3: 7, 2: 13, 0: 19, 1: 11, 4: 2, 11: 1, 6: 1, 7: 2, 5: 1}","{9: 1, 2: 10, 0: 19, 1: 8, 4: 5, 36: 1, 18: 1, 16: 2, 5: 1, 3: 4, 28: 1, 21: 1, 10: 1, 6: 1, 7: 1}"
24,21,36,2.423751889644747,1.5714285714285714,3.7857142857142856,"{3: 6, 2: 14, 0: 20, 1: 11, 10: 1, 5: 2, 7: 1, 4: 1}","{9: 1, 2: 9, 0: 20, 1: 9, 3: 5, 4: 3, 34: 1, 17: 1, 15: 1, 5: 1, 28: 1, 21: 1, 16: 1, 6: 1, 7: 1}"
25,23,30,2.296908866995074,1.4181818181818182,3.272727272727273,"{2: 16, 0: 21, 1: 10, 9: 1, 4: 2, 3: 4, 7: 1}","{5: 2, 2: 9, 0: 21, 1: 9, 4: 3, 27: 1, 17: 1, 13: 1, 3: 4, 28: 1, 21: 1, 6: 1, 7: 1}"
26,23,29,2.3461177574478067,1.3703703703703705,3.1481481481481484,"{2: 14, 0: 21, 1: 11, 9: 1, 4: 2, 3: 4, 6: 1}","{2: 9, 0: 21, 1: 9, 4: 3, 27: 1, 17: 1, 13: 1, 5: 2, 3: 4, 28: 1, 18: 1, 6: 1}"
27,24,27,2.16492673992674,1.320754716981132,3.1320754716981134,"{0: 22, 2: 14, 1: 10, 9: 1, 4: 2, 3: 3, 6: 1}","{0: 22, 2: 9, 1: 8, 4: 3, 27: 1, 17: 1, 13: 1, 5: 2, 28: 1, 3: 3, 18: 1, 6: 1}"
28,23,27,2.16492673992674,1.3461538461538463,3.1923076923076925,"{2: 14, 0: 21, 1: 10, 9: 1, 4: 2, 3: 3, 6: 1}","{2: 9, 0: 21, 1: 8, 4: 3, 27: 1, 17: 1, 13: 1, 5: 2, 28: 1, 3: 3, 18: 1, 6: 1}"
29,23,26,2.17842673992674,1.2941176470588236,3.176470588235294,"{0: 21, 1: 10, 2: 13, 9: 1, 4: 1, 3: 4, 5: 1}","{0: 21, 1: 8, 2: 8, 4: 3, 27: 1, 17: 2, 13: 1, 5: 3, 28: 1, 3: 3}"
30,22,26,2.17842673992674,1.32,3.24,"{1: 10, 2: 13, 9: 1, 0: 20, 4: 1, 3: 4, 5: 1}","{1: 8, 2: 8, 4: 3, 27: 1, 17: 2, 0: 20, 13: 1, 5: 3, 28: 1, 3: 3}"
31,22,26,2.17842673992674,1.3061224489795917,3.2653061224489797,"{2: 12, 9: 1, 0: 20, 4: 1, 1: 10, 3: 4, 5: 1}","{2: 7, 4: 3, 27: 1, 17: 2, 0: 20, 13: 1, 1: 8, 5: 3, 28: 1, 3: 3}"
32,23,26,2.17842673992674,1.25,3.25,"{2: 11, 9: 1, 0: 22, 4: 1, 1: 8, 3: 4, 5: 1}","{4: 3, 27: 1, 2: 6, 17: 2, 0: 22, 13: 1, 1: 6, 5: 3, 28: 1, 3: 3}"
33,24,22,1.9793058132343846,1.1914893617021276,3.148936170212766,"{9: 1, 2: 9, 0: 22, 4: 2, 1: 9, 3: 4}","{27: 1, 2: 6, 17: 1, 0: 22, 13: 1, 1: 7, 5: 3, 28: 1, 4: 2, 3: 2, 15: 1}"
34,28,11,1.9654545454545456,0.8260869565217391,2.0434782608695654,"{2: 8, 0: 23, 4: 1, 1: 12, 3: 2}","{2: 7, 17: 1, 0: 23, 13: 1, 1: 8, 5: 2, 21: 1, 4: 2, 3: 1}"
