nodes_removed,number_of_strongly_connected_components,largest_strongly_connected_component_size,largest_strongly_connected_component_average_path_length,average_degree,average_weighted_degree,degree_distribution,weighted_degree_distribution
0,2,90,0.5814185939575757,8.326086956521738,2826.4347826086955,"{14: 2, 17: 1, 2: 11, 4: 6, 11: 4, 20: 4, 16: 3, 12: 3, 9: 6, 10: 1, 13: 3, 19: 2, 22: 1, 1: 16, 7: 3, 3: 9, 8: 2, 5: 4, 6: 4, 34: 1, 28: 1, 42: 1, 31: 1, 15: 3}","{260: 1, 2567: 1, 2: 7, 119164: 1, 380: 1, 512: 1, 278: 1, 130: 1, 1197: 1, 179: 1, 49: 2, 219: 1, 71: 1, 233: 1, 268: 1, 866: 1, 243: 2, 1: 12, 294: 1, 95: 1, 11: 1, 431: 1, 32: 2, 30: 1, 381: 1, 6: 3, 38: 1, 21: 1, 186: 1, 18: 1, 15: 1, 10: 2, 82: 1, 136: 1, 14: 1, 45: 1, 204: 1, 8: 1, 23: 1, 7: 1, 1000: 1, 2072: 1, 118586: 1, 101: 1, 1317: 1, 642: 1, 5899: 1, 316: 1, 128: 1, 182: 1, 65: 1, 166: 1, 26: 1, 20: 1, 61: 1, 3: 4, 117: 1, 63: 1, 29: 1, 9: 1, 16: 1, 4: 1, 52: 2, 5: 1, 17: 1}"
1,3,88,0.676662043876121,7.802197802197802,251.2087912087912,"{13: 4, 16: 2, 2: 8, 3: 10, 10: 2, 19: 4, 11: 4, 8: 5, 9: 4, 12: 2, 21: 1, 15: 5, 1: 18, 6: 4, 5: 4, 4: 7, 0: 1, 34: 1, 42: 1, 31: 1, 20: 2, 7: 1}","{255: 1, 475: 1, 2: 7, 6664: 1, 37: 1, 379: 1, 278: 1, 117: 2, 308: 1, 173: 1, 43: 1, 167: 1, 71: 1, 233: 1, 165: 1, 96: 1, 105: 1, 1: 15, 280: 1, 92: 1, 11: 1, 423: 1, 32: 2, 49: 1, 22: 1, 134: 1, 5: 2, 38: 1, 21: 1, 159: 1, 18: 1, 10: 3, 79: 1, 14: 1, 45: 1, 6: 1, 195: 1, 8: 1, 23: 1, 0: 1, 178: 1, 2072: 1, 101: 1, 1317: 1, 642: 1, 5899: 1, 316: 1, 128: 1, 182: 1, 65: 1, 166: 1, 26: 1, 20: 1, 61: 1, 3: 4, 63: 1, 29: 1, 9: 1, 16: 1, 4: 1, 52: 2, 17: 1}"
2,3,87,0.6851082828154026,7.822222222222222,105.91111111111111,"{13: 4, 16: 2, 2: 8, 10: 2, 19: 3, 11: 4, 8: 5, 9: 4, 12: 2, 21: 1, 15: 5, 1: 18, 6: 4, 3: 9, 5: 4, 4: 7, 0: 1, 33: 1, 41: 1, 31: 1, 18: 1, 20: 2, 7: 1}","{255: 1, 475: 1, 2: 7, 37: 1, 379: 1, 278: 1, 117: 2, 308: 1, 173: 1, 43: 1, 167: 1, 71: 1, 233: 1, 165: 1, 96: 1, 105: 1, 1: 15, 280: 1, 92: 1, 11: 1, 423: 1, 32: 2, 49: 1, 22: 1, 134: 1, 5: 2, 38: 1, 21: 1, 159: 1, 18: 1, 10: 3, 79: 1, 14: 1, 45: 1, 6: 1, 195: 1, 8: 1, 23: 1, 0: 1, 178: 1, 1092: 1, 101: 1, 1316: 1, 642: 1, 216: 1, 316: 1, 128: 1, 182: 1, 65: 1, 166: 1, 26: 1, 20: 1, 61: 1, 3: 4, 63: 1, 29: 1, 9: 1, 16: 1, 4: 1, 52: 2, 17: 1}"
3,3,86,0.7115172713346272,7.168539325842697,82.56179775280899,"{12: 4, 15: 5, 2: 8, 9: 5, 18: 4, 10: 2, 7: 5, 8: 2, 11: 3, 20: 3, 14: 2, 1: 19, 5: 2, 4: 7, 3: 12, 0: 1, 13: 1, 41: 1, 31: 1, 6: 2}","{203: 1, 258: 1, 2: 7, 25: 1, 327: 1, 263: 1, 74: 1, 306: 1, 168: 2, 38: 1, 139: 1, 70: 1, 225: 1, 124: 1, 86: 1, 102: 1, 1: 15, 146: 1, 76: 1, 5: 3, 216: 2, 29: 2, 46: 1, 15: 1, 118: 1, 3: 5, 6: 1, 20: 2, 136: 1, 18: 1, 8: 2, 10: 2, 24: 1, 14: 1, 41: 1, 119: 1, 23: 1, 0: 1, 101: 1, 1316: 1, 642: 1, 316: 1, 128: 1, 182: 1, 65: 1, 166: 1, 26: 1, 61: 1, 117: 1, 63: 1, 9: 1, 16: 1, 4: 1, 52: 2, 32: 1, 17: 1}"
4,6,82,0.8187801163539083,6.318181818181818,53.59090909090909,"{11: 5, 14: 2, 1: 20, 8: 3, 17: 3, 9: 5, 6: 6, 7: 2, 10: 1, 19: 1, 13: 3, 4: 4, 3: 11, 2: 10, 0: 4, 31: 1, 18: 1, 15: 3, 12: 1, 20: 2}","{35: 1, 203: 1, 1: 16, 24: 1, 268: 1, 238: 1, 37: 2, 294: 1, 151: 1, 34: 1, 43: 1, 54: 1, 192: 1, 84: 2, 61: 2, 14: 1, 4: 4, 29: 2, 10: 2, 8: 3, 100: 1, 2: 7, 0: 4, 5: 2, 120: 1, 7: 2, 25: 1, 17: 2, 21: 1, 115: 1, 101: 1, 642: 1, 216: 1, 316: 1, 128: 1, 182: 1, 65: 1, 166: 1, 26: 1, 20: 1, 3: 4, 117: 1, 63: 1, 9: 1, 16: 1, 52: 2, 32: 1}"
5,7,80,0.8315464205420872,6.0,48.04597701149425,"{11: 4, 14: 5, 1: 19, 8: 4, 9: 3, 17: 2, 6: 5, 7: 3, 10: 3, 19: 3, 13: 2, 4: 3, 3: 11, 2: 11, 0: 5, 12: 1, 30: 1, 18: 1, 5: 1}","{35: 1, 203: 1, 1: 16, 24: 1, 238: 1, 37: 2, 294: 1, 151: 1, 34: 1, 43: 1, 54: 1, 192: 1, 84: 2, 61: 1, 14: 1, 4: 4, 29: 2, 10: 2, 8: 3, 100: 1, 2: 7, 0: 5, 5: 2, 120: 1, 7: 2, 25: 2, 17: 2, 21: 1, 115: 1, 82: 1, 484: 1, 216: 1, 316: 1, 123: 1, 165: 1, 64: 1, 157: 1, 13: 2, 55: 1, 3: 3, 111: 1, 44: 1, 9: 1, 50: 2, 22: 1}"
6,8,78,1.013846889371075,5.372093023255814,37.348837209302324,"{10: 5, 13: 2, 0: 6, 7: 4, 8: 4, 16: 2, 6: 4, 9: 2, 18: 2, 12: 3, 1: 23, 3: 9, 5: 3, 2: 10, 14: 3, 11: 1, 19: 2, 4: 1}","{17: 2, 184: 1, 0: 6, 12: 1, 219: 1, 32: 2, 279: 1, 151: 1, 9: 2, 18: 1, 130: 1, 52: 1, 69: 1, 45: 1, 1: 17, 4: 3, 10: 2, 16: 1, 8: 1, 2: 8, 6: 2, 48: 1, 73: 1, 7: 1, 3: 6, 14: 1, 21: 1, 115: 1, 82: 1, 216: 1, 316: 1, 123: 1, 165: 1, 64: 1, 157: 1, 25: 1, 13: 2, 55: 1, 111: 1, 44: 1, 29: 1, 50: 2, 22: 1, 5: 1}"
7,8,77,1.0722801062578704,5.0588235294117645,31.223529411764705,"{10: 4, 13: 4, 0: 6, 7: 5, 8: 3, 6: 3, 9: 4, 16: 1, 18: 3, 12: 3, 1: 25, 3: 8, 5: 3, 2: 10, 17: 1, 14: 1, 4: 1}","{17: 2, 184: 1, 0: 6, 12: 1, 219: 1, 32: 2, 151: 1, 9: 1, 18: 1, 130: 1, 52: 1, 69: 1, 45: 1, 1: 19, 4: 3, 10: 2, 16: 1, 8: 1, 2: 7, 6: 2, 48: 1, 73: 1, 7: 1, 3: 7, 14: 1, 21: 3, 115: 1, 82: 1, 202: 1, 144: 1, 122: 1, 161: 1, 152: 1, 25: 1, 13: 2, 54: 1, 110: 1, 44: 1, 5: 1, 49: 2}"
8,8,76,1.083410752279462,5.0476190476190474,31.214285714285715,"{10: 4, 13: 5, 0: 6, 7: 5, 8: 4, 6: 3, 9: 3, 16: 1, 18: 2, 12: 3, 1: 25, 3: 7, 5: 3, 2: 10, 17: 2, 4: 1}","{17: 2, 184: 1, 0: 6, 12: 1, 219: 1, 32: 2, 151: 1, 9: 1, 18: 1, 130: 1, 52: 1, 69: 1, 45: 1, 1: 19, 4: 3, 10: 2, 8: 1, 2: 7, 6: 2, 48: 2, 73: 1, 7: 1, 3: 7, 14: 1, 21: 3, 115: 1, 82: 1, 202: 1, 144: 1, 122: 1, 161: 1, 139: 1, 25: 1, 13: 2, 54: 1, 110: 1, 42: 1, 5: 1, 49: 1}"
9,8,75,1.1108534233748684,4.819277108433735,29.927710843373493,"{10: 4, 13: 2, 0: 6, 7: 6, 8: 3, 6: 4, 9: 2, 16: 2, 18: 1, 1: 25, 3: 5, 5: 3, 2: 12, 12: 4, 11: 1, 17: 2, 4: 1}","{17: 2, 184: 1, 0: 6, 12: 2, 219: 1, 32: 2, 151: 1, 9: 1, 18: 1, 130: 1, 52: 1, 45: 1, 1: 19, 4: 3, 10: 2, 8: 2, 2: 9, 6: 2, 48: 1, 73: 1, 7: 1, 3: 5, 14: 1, 21: 3, 115: 1, 78: 1, 201: 1, 144: 1, 119: 1, 116: 1, 139: 1, 25: 1, 51: 1, 107: 1, 41: 1, 5: 1, 49: 1, 47: 1}"
