edges_removed,size_of_largest_component,number_of_strongly_connected_components,largest_strongly_connected_component_size,largest_strongly_connected_component_average_path_length
0,83,1,83,2.5506905671466353
1,83,1,83,288413.00029385835
2,83,1,83,288625.0975609756
3,83,1,83,289439.24066999706
4,83,1,83,290540.7193652659
5,83,1,83,294097.9253599765
6,83,1,83,294401.10167499265
7,83,1,83,294538.60975609755
8,83,1,83,295049.91448721715
9,83,1,83,295257.8383779019
10,83,1,83,295946.88627681456
11,83,1,83,296085.42139288865
12,83,1,83,296567.7364090508
13,83,1,83,305582.2947399354
14,83,1,83,305719.57566852774
15,83,1,83,306131.5865412871
16,83,1,83,306408.76785189536
17,83,1,83,307025.8022333235
18,83,1,83,308380.5865412871
19,83,1,83,309197.1915956509
20,83,1,83,309740.91595650895
21,83,1,83,311166.1730825742
22,83,1,83,313543.2603585072
23,83,1,83,313747.2920952101
24,83,1,83,314364.96620628855
25,83,1,83,315859.1774904496
26,83,1,83,316672.90537760797
27,83,1,83,317147.7552159859
28,83,1,83,317690.27387599176
29,83,1,83,317894.14692918013
30,83,1,83,318030.3464590068
31,83,1,83,318572.82574199233
32,83,1,83,319518.2380252718
33,83,1,83,319722.0429033206
34,83,1,83,319997.01439905964
35,83,1,83,320133.90861005
36,83,1,83,320542.40493682044
37,83,1,83,321508.73405818397
38,83,1,83,322124.51983543934
39,83,1,83,322939.2882750514
40,83,1,83,323211.10314428445
41,83,1,83,323482.9112547752
42,83,1,83,323686.7869526888
43,83,1,83,323890.6767558037
44,83,1,83,324297.9994122833
45,83,1,83,324637.4989714957
46,83,1,83,324773.5327652072
47,83,1,83,325520.1945342345
48,83,1,83,325792.3276520717
49,83,1,83,326267.4166911549
50,83,1,83,326539.02086394356
51,83,1,83,327285.822215692
52,83,1,83,328846.25536291505
53,83,1,83,328914.39024390245
54,83,1,83,328982.42785777256
55,83,1,83,329457.5627387599
56,83,1,83,330000.5697913606
57,83,1,83,332578.5909491625
58,83,1,83,333528.72524243314
59,83,1,83,334071.6952688804
60,83,1,83,334411.3135468704
61,83,1,83,334750.85982956213
62,83,1,83,336311.4807522774
63,83,1,83,337668.6270937408
64,83,1,83,338483.25389362324
65,83,1,83,340111.62679988245
66,83,1,83,340383.3062004114
67,83,1,83,341197.6676461945
68,83,1,83,341876.48516015284
69,83,1,83,342487.4196297385
70,83,1,83,343301.7631501616
71,83,1,83,343437.6929180135
72,83,1,83,343505.8715838966
73,83,1,83,344116.76344402
74,83,1,83,344320.567734352
75,83,1,83,346559.67205406993
76,83,1,83,349273.7390537761
77,83,1,83,350155.9594475463
78,83,1,83,350291.87540405523
79,83,1,83,350495.6168086982
80,83,1,83,350902.94210990303
81,83,1,83,351649.39435791946
82,83,1,83,353752.6917425801
83,83,1,83,361012.06053482223
84,83,1,83,367661.32559506316
85,78,2,78,340633.9470529471
86,78,2,78,341941.02031302033
87,78,2,78,342095.0562770563
88,78,2,78,342248.97535797535
89,78,2,78,343171.83716283715
90,78,2,78,343787.1555111555
91,78,2,78,344095.09257409256
92,78,2,78,344249.0043290043
93,78,2,78,344864.1991341991
94,78,2,78,345018.2144522145
95,78,2,78,346017.82717282715
96,78,2,78,346402.35397935397
97,78,2,78,346633.2457542457
98,78,2,78,346863.99866799865
99,78,2,78,347786.7485847486
100,78,2,78,348248.1948051948
