nodes_removed,number_of_strongly_connected_components,largest_strongly_connected_component_size,largest_strongly_connected_component_average_path_length,average_degree,average_weighted_degree,degree_distribution,weighted_degree_distribution
19,25,40,1.5294166209607385,2.15625,6.40625,"{1: 9, 7: 2, 4: 4, 6: 3, 2: 9, 3: 9, 0: 24, 5: 1, 8: 2, 15: 1}","{1: 4, 25: 2, 35: 1, 15: 1, 4: 4, 2: 5, 9: 2, 6: 4, 12: 1, 10: 1, 5: 2, 0: 24, 3: 6, 19: 1, 79: 1, 23: 1, 32: 1, 8: 1, 14: 1, 13: 1}"
20,28,35,2.01854607906511,1.7142857142857142,4.0,"{0: 26, 6: 3, 3: 7, 5: 1, 1: 10, 2: 10, 4: 3, 7: 2, 8: 1}","{0: 26, 10: 1, 22: 1, 19: 1, 5: 3, 1: 5, 2: 5, 4: 3, 9: 1, 3: 7, 6: 3, 7: 1, 14: 2, 23: 1, 32: 1, 8: 1, 13: 1}"
21,28,34,2.2435858451429382,1.5161290322580645,3.6451612903225805,"{0: 26, 6: 4, 3: 6, 4: 3, 1: 12, 2: 10, 8: 1}","{0: 26, 10: 1, 22: 1, 18: 1, 5: 3, 1: 6, 2: 6, 4: 3, 3: 7, 8: 2, 13: 1, 23: 1, 32: 1, 14: 1, 6: 2}"
22,29,32,2.0904349425874567,1.4426229508196722,3.540983606557377,"{0: 27, 6: 4, 3: 5, 4: 3, 1: 13, 2: 8, 8: 1}","{0: 27, 10: 1, 22: 1, 18: 1, 5: 2, 1: 7, 2: 6, 4: 3, 3: 5, 8: 2, 13: 1, 23: 1, 32: 1, 14: 1, 6: 2}"
23,29,31,2.147606999789163,1.3333333333333333,3.0,"{0: 27, 6: 3, 3: 6, 1: 14, 2: 7, 4: 1, 5: 1, 7: 1}","{0: 27, 10: 2, 22: 1, 5: 2, 1: 7, 2: 7, 4: 3, 3: 4, 8: 1, 13: 1, 30: 1, 6: 3, 14: 1}"
24,30,29,2.6128899835796386,1.11864406779661,2.0338983050847457,"{0: 28, 5: 3, 2: 8, 1: 14, 3: 5, 6: 1}","{0: 28, 9: 1, 5: 1, 1: 8, 2: 7, 4: 2, 3: 5, 8: 1, 11: 1, 10: 1, 6: 3, 14: 1}"
25,29,29,2.6128899835796386,1.1379310344827587,2.0689655172413794,"{5: 3, 2: 8, 0: 27, 1: 14, 3: 5, 6: 1}","{9: 1, 5: 1, 0: 27, 1: 8, 2: 7, 4: 2, 3: 5, 8: 1, 11: 1, 10: 1, 6: 3, 14: 1}"
26,31,19,2.7660818713450293,0.9824561403508771,1.7894736842105263,"{2: 7, 0: 27, 1: 16, 3: 4, 5: 2, 4: 1}","{5: 1, 0: 27, 1: 9, 2: 7, 4: 1, 3: 5, 8: 2, 11: 1, 6: 3, 10: 1}"
27,31,18,2.8474945533769063,0.9285714285714286,1.6428571428571428,"{0: 27, 1: 16, 2: 7, 3: 4, 5: 2}","{0: 27, 1: 9, 2: 7, 4: 2, 3: 5, 8: 1, 11: 1, 5: 1, 10: 1, 6: 2}"
28,30,18,2.8474945533769063,0.9454545454545454,1.6727272727272726,"{1: 16, 2: 7, 0: 26, 3: 4, 5: 2}","{1: 9, 2: 7, 4: 2, 3: 5, 8: 1, 0: 26, 11: 1, 5: 1, 10: 1, 6: 2}"
29,30,18,2.8474945533769063,0.9259259259259259,1.6666666666666667,"{1: 14, 2: 7, 0: 27, 3: 4, 5: 2}","{2: 7, 4: 2, 3: 5, 1: 7, 8: 1, 0: 27, 11: 1, 5: 1, 10: 1, 6: 2}"
30,30,17,2.9044117647058822,0.9056603773584906,1.6226415094339623,"{2: 8, 1: 13, 0: 27, 3: 3, 5: 2}","{4: 2, 3: 6, 1: 7, 8: 1, 2: 6, 0: 27, 11: 1, 10: 1, 6: 2}"
31,31,15,2.8920634920634924,0.8461538461538461,1.5,"{1: 12, 2: 8, 0: 28, 3: 2, 5: 2}","{3: 6, 1: 7, 8: 1, 2: 5, 0: 28, 11: 1, 4: 2, 10: 1, 6: 1}"
32,31,15,2.8920634920634924,0.8235294117647058,1.411764705882353,"{1: 11, 2: 8, 0: 28, 3: 2, 5: 1, 4: 1}","{1: 7, 8: 1, 2: 5, 0: 28, 3: 5, 11: 1, 4: 2, 7: 1, 6: 1}"
33,31,15,2.8920634920634924,0.8,1.4,"{2: 8, 1: 10, 0: 28, 3: 3, 5: 1}","{8: 1, 2: 5, 0: 28, 3: 5, 1: 6, 11: 1, 4: 2, 6: 2}"
34,32,15,2.8920634920634924,0.7346938775510204,1.1020408163265305,"{1: 9, 0: 29, 3: 2, 2: 8, 5: 1}","{2: 5, 0: 29, 3: 5, 1: 6, 11: 1, 4: 3}"
35,32,14,2.836996336996337,0.7083333333333334,1.0416666666666667,"{0: 29, 1: 9, 3: 2, 2: 7, 5: 1}","{0: 29, 3: 4, 1: 7, 2: 4, 11: 1, 4: 3}"
36,31,14,2.836996336996337,0.723404255319149,1.0638297872340425,"{1: 9, 0: 28, 3: 2, 2: 7, 5: 1}","{3: 4, 0: 28, 1: 7, 2: 4, 11: 1, 4: 3}"
37,31,14,2.836996336996337,0.6956521739130435,0.9565217391304348,"{0: 28, 1: 9, 3: 2, 2: 6, 5: 1}","{0: 28, 1: 8, 3: 3, 2: 4, 11: 1, 4: 2}"
38,30,14,2.836996336996337,0.7111111111111111,0.9777777777777777,"{0: 27, 1: 9, 3: 2, 2: 6, 5: 1}","{0: 27, 1: 8, 3: 3, 2: 4, 11: 1, 4: 2}"
39,29,14,2.836996336996337,0.7272727272727273,1.0,"{1: 9, 0: 26, 3: 2, 2: 6, 5: 1}","{1: 8, 0: 26, 3: 3, 2: 4, 11: 1, 4: 2}"
40,29,14,2.836996336996337,0.6976744186046512,0.9767441860465116,"{0: 27, 1: 7, 3: 2, 2: 6, 5: 1}","{0: 27, 1: 6, 3: 3, 2: 4, 11: 1, 4: 2}"
41,28,14,2.836996336996337,0.7142857142857143,1.0,"{1: 7, 3: 2, 2: 6, 0: 26, 5: 1}","{1: 6, 3: 3, 2: 4, 0: 26, 11: 1, 4: 2}"
42,28,14,2.836996336996337,0.6829268292682927,0.975609756097561,"{1: 5, 3: 2, 2: 6, 0: 27, 5: 1}","{1: 4, 3: 3, 2: 4, 0: 27, 11: 1, 4: 2}"
43,28,13,2.534188034188034,0.65,0.95,"{3: 2, 2: 5, 0: 27, 5: 1, 1: 5}","{3: 3, 2: 3, 0: 27, 11: 1, 1: 4, 4: 2}"
44,30,7,1.0793650793650793,0.5128205128205128,0.8205128205128205,"{2: 5, 0: 28, 5: 1, 1: 5}","{2: 5, 0: 28, 11: 1, 1: 3, 4: 2}"
45,30,6,0.8888888888888888,0.42105263157894735,0.7368421052631579,"{0: 28, 5: 1, 1: 7, 2: 2}","{0: 28, 11: 1, 1: 3, 2: 4, 3: 2}"
46,29,6,0.8888888888888888,0.43243243243243246,0.7567567567567568,"{0: 27, 5: 1, 1: 7, 2: 2}","{0: 27, 11: 1, 1: 3, 2: 4, 3: 2}"
47,28,6,0.8888888888888888,0.4444444444444444,0.7777777777777778,"{0: 26, 5: 1, 1: 7, 2: 2}","{0: 26, 11: 1, 1: 3, 2: 4, 3: 2}"
48,27,6,0.8888888888888888,0.45714285714285713,0.8,"{5: 1, 0: 25, 1: 7, 2: 2}","{11: 1, 0: 25, 1: 3, 2: 4, 3: 2}"
49,31,4,1.6666666666666667,0.17647058823529413,0.17647058823529413,"{0: 30, 1: 2, 2: 2}","{0: 30, 1: 2, 2: 2}"
50,30,4,1.6666666666666667,0.18181818181818182,0.18181818181818182,"{0: 29, 1: 2, 2: 2}","{0: 29, 1: 2, 2: 2}"
51,29,4,1.6666666666666667,0.1875,0.1875,"{1: 2, 0: 28, 2: 2}","{1: 2, 0: 28, 2: 2}"
52,29,3,1.3333333333333333,0.12903225806451613,0.12903225806451613,"{0: 28, 2: 1, 1: 2}","{0: 28, 2: 1, 1: 2}"
53,28,3,1.3333333333333333,0.13333333333333333,0.13333333333333333,"{2: 1, 0: 27, 1: 2}","{2: 1, 0: 27, 1: 2}"
54,29,1,0.0,0.0,0.0,{0: 29},{0: 29}
55,28,1,0.0,0.0,0.0,{0: 28},{0: 28}
56,27,1,0.0,0.0,0.0,{0: 27},{0: 27}
57,26,1,0.0,0.0,0.0,{0: 26},{0: 26}
