edges_removed,number_of_strongly_connected_components,largest_strongly_connected_component_size,largest_strongly_connected_component_average_path_length,average_degree,average_weighted_degree,degree_distribution,weighted_degree_distribution
10,1,80,0.5764702774111964,7.85,2963.3,"{14: 6, 2: 10, 15: 3, 12: 2, 10: 3, 6: 4, 9: 2, 4: 11, 17: 1, 21: 1, 1: 10, 5: 3, 18: 1, 13: 1, 8: 3, 7: 4, 11: 3, 3: 6, 20: 1, 23: 1, 31: 1, 33: 1, 16: 1, 19: 1}","{96: 1, 115625: 1, 224: 1, 223: 1, 154: 2, 79: 1, 20: 1, 52: 1, 41: 2, 71: 1, 241: 1, 191: 1, 135: 1, 15: 2, 5: 1, 151: 1, 145: 1, 284: 1, 59: 1, 25: 2, 162: 1, 39: 1, 2: 7, 11: 2, 30: 1, 26: 2, 21: 2, 7: 3, 78: 1, 1: 6, 54: 1, 10: 2, 3: 3, 9: 3, 6: 2, 148: 1, 115948: 1, 323: 1, 27: 2, 402: 1, 347: 1, 83: 1, 560: 1, 13: 1, 94: 1, 122: 1, 120: 1, 86: 1, 4: 1, 22: 1, 18: 1, 33: 1, 28: 1}"
11,1,80,0.5790460654051319,7.825,2961.3,"{14: 7, 2: 10, 12: 2, 10: 3, 6: 4, 9: 2, 4: 11, 17: 1, 21: 1, 1: 10, 5: 3, 18: 1, 13: 1, 8: 3, 7: 4, 11: 3, 3: 6, 20: 1, 23: 1, 30: 1, 15: 2, 33: 1, 16: 1, 19: 1}","{96: 1, 115625: 1, 144: 1, 223: 1, 154: 2, 79: 1, 20: 1, 52: 1, 41: 2, 71: 1, 241: 1, 191: 1, 135: 1, 15: 2, 5: 1, 151: 1, 145: 1, 284: 1, 59: 1, 25: 2, 162: 1, 39: 1, 2: 7, 11: 2, 30: 1, 26: 2, 21: 2, 7: 3, 78: 1, 1: 6, 54: 1, 10: 2, 3: 3, 9: 3, 6: 2, 148: 1, 115948: 1, 323: 1, 27: 2, 322: 1, 347: 1, 83: 1, 560: 1, 13: 1, 94: 1, 122: 1, 120: 1, 86: 1, 4: 1, 22: 1, 18: 1, 33: 1, 28: 1}"
12,1,80,0.5848839103001209,7.8,74.575,"{14: 7, 2: 10, 12: 3, 10: 3, 6: 4, 9: 2, 4: 11, 17: 1, 21: 1, 1: 10, 5: 3, 18: 1, 8: 3, 7: 4, 11: 3, 3: 6, 20: 1, 23: 1, 30: 1, 15: 2, 32: 1, 16: 1, 19: 1}","{96: 1, 205.0: 1, 144: 1, 223: 1, 154: 2, 79: 1, 20: 1, 52: 1, 41: 2, 71: 1, 241: 1, 191: 1, 135: 1, 15: 2, 5: 1, 151: 1, 145: 1, 235: 1, 59: 1, 25: 2, 162: 1, 39: 1, 2: 7, 11: 2, 30: 1, 26: 2, 21: 2, 7: 3, 78: 1, 1: 6, 54: 1, 10: 2, 3: 3, 9: 3, 6: 2, 148: 1, 528.0: 1, 323: 1, 27: 2, 322: 1, 347: 1, 83: 1, 511: 1, 13: 1, 94: 1, 122: 1, 120: 1, 86: 1, 4: 1, 22: 1, 18: 1, 33: 1, 28: 1}"
13,1,80,0.5885823669039325,7.775,73.375,"{14: 7, 2: 10, 11: 4, 10: 3, 6: 4, 9: 2, 4: 11, 17: 1, 21: 1, 1: 10, 5: 3, 18: 1, 12: 2, 8: 3, 7: 4, 3: 6, 20: 1, 22: 1, 30: 1, 15: 2, 32: 1, 16: 1, 19: 1}","{96: 1, 205.0: 1, 144: 1, 223: 1, 106: 1, 79: 1, 20: 1, 52: 1, 41: 2, 71: 1, 241: 1, 191: 1, 135: 1, 15: 2, 5: 1, 151: 1, 145: 1, 235: 1, 59: 1, 25: 2, 162: 1, 39: 1, 2: 7, 11: 2, 30: 1, 26: 2, 21: 2, 7: 3, 78: 1, 1: 6, 54: 1, 10: 2, 3: 3, 9: 3, 6: 2, 148: 1, 528.0: 1, 275: 1, 27: 2, 322: 1, 347: 1, 154: 1, 83: 1, 511: 1, 13: 1, 94: 1, 122: 1, 120: 1, 86: 1, 4: 1, 22: 1, 18: 1, 33: 1, 28: 1}"
14,1,80,0.5899428894266041,7.75,72.5,"{14: 6, 2: 10, 11: 4, 10: 3, 6: 4, 9: 2, 4: 11, 17: 1, 21: 1, 1: 10, 5: 3, 13: 1, 18: 1, 12: 2, 8: 3, 7: 4, 3: 6, 19: 2, 22: 1, 30: 1, 15: 2, 32: 1, 16: 1}","{96: 1, 205.0: 1, 144: 1, 223: 1, 106: 1, 79: 1, 20: 1, 52: 1, 41: 2, 71: 1, 241: 1, 191: 1, 135: 1, 15: 2, 5: 1, 116: 1, 145: 1, 235: 1, 59: 1, 25: 2, 162: 1, 39: 1, 2: 7, 11: 2, 30: 1, 26: 2, 21: 2, 7: 3, 78: 1, 1: 6, 54: 1, 10: 2, 3: 3, 9: 3, 6: 2, 148: 1, 493.0: 1, 275: 1, 27: 2, 322: 1, 347: 1, 154: 1, 83: 1, 511: 1, 13: 1, 94: 1, 122: 1, 120: 1, 86: 1, 4: 1, 22: 1, 18: 1, 33: 1, 28: 1}"
15,1,80,0.5930132432114319,7.725,71.425,"{14: 6, 2: 10, 11: 4, 10: 3, 6: 4, 9: 2, 4: 11, 17: 2, 21: 1, 1: 10, 5: 3, 13: 1, 12: 2, 8: 3, 7: 4, 3: 6, 19: 2, 22: 1, 29: 1, 15: 2, 32: 1, 16: 1}","{96: 1, 205.0: 1, 144: 1, 223: 1, 106: 1, 79: 1, 20: 1, 52: 1, 41: 2, 71: 1, 241: 1, 191: 1, 135: 1, 15: 2, 5: 1, 116: 1, 102: 1, 235: 1, 59: 1, 25: 2, 162: 1, 39: 1, 2: 7, 11: 2, 30: 1, 26: 2, 21: 2, 7: 3, 78: 1, 1: 6, 54: 1, 10: 2, 3: 3, 9: 3, 6: 2, 148: 1, 493.0: 1, 275: 1, 27: 2, 279: 1, 347: 1, 154: 1, 83: 1, 511: 1, 13: 1, 94: 1, 122: 1, 120: 1, 86: 1, 4: 1, 22: 1, 18: 1, 33: 1, 28: 1}"
16,1,80,0.6007577474330555,7.7,69.325,"{14: 5, 2: 10, 13: 2, 11: 3, 10: 4, 6: 4, 9: 2, 4: 11, 17: 2, 21: 1, 1: 10, 5: 3, 12: 2, 8: 3, 7: 4, 3: 6, 19: 2, 22: 1, 29: 1, 15: 2, 32: 1, 16: 1}","{96: 1, 205.0: 1, 144: 1, 139: 1, 106: 1, 79: 1, 20: 1, 52: 1, 41: 2, 71: 1, 241: 1, 191: 1, 135: 1, 15: 2, 5: 1, 116: 1, 102: 1, 235: 1, 59: 1, 25: 2, 162: 1, 39: 1, 2: 7, 11: 2, 30: 1, 26: 2, 21: 2, 7: 3, 78: 1, 1: 6, 54: 1, 10: 2, 3: 3, 9: 3, 6: 2, 148: 1, 493.0: 1, 275: 1, 27: 2, 279: 1, 263: 1, 154: 1, 83: 1, 511: 1, 13: 1, 94: 1, 122: 1, 120: 1, 86: 1, 4: 1, 22: 1, 18: 1, 33: 1, 28: 1}"
17,1,80,0.6033533550899048,7.675,67.0,"{14: 5, 2: 10, 13: 2, 11: 3, 10: 4, 6: 4, 9: 2, 4: 11, 17: 2, 21: 1, 1: 10, 5: 3, 12: 2, 8: 2, 7: 5, 3: 6, 18: 1, 22: 1, 29: 1, 15: 2, 32: 1, 16: 1, 19: 1}","{96: 1, 205.0: 1, 144: 1, 139: 1, 106: 1, 79: 1, 20: 1, 52: 1, 41: 2, 71: 1, 241: 1, 191: 1, 135: 1, 15: 2, 5: 1, 116: 1, 102: 1, 235: 1, 59: 1, 25: 2, 69: 1, 39: 1, 2: 7, 11: 2, 30: 1, 26: 2, 21: 2, 7: 3, 78: 1, 1: 6, 54: 1, 10: 2, 3: 3, 9: 3, 6: 2, 148: 1, 400.0: 1, 275: 1, 27: 2, 279: 1, 263: 1, 154: 1, 83: 1, 511: 1, 13: 1, 94: 1, 122: 1, 120: 1, 86: 1, 4: 1, 22: 1, 18: 1, 33: 1, 28: 1}"
18,1,80,0.6087019991380026,7.65,66.35,"{14: 5, 2: 10, 13: 2, 11: 3, 10: 4, 6: 4, 9: 2, 4: 11, 17: 1, 21: 1, 1: 10, 5: 3, 16: 2, 12: 2, 8: 2, 7: 5, 3: 6, 18: 1, 22: 1, 29: 1, 15: 2, 31: 1, 19: 1}","{96: 1, 205.0: 1, 144: 1, 139: 1, 106: 1, 79: 1, 20: 1, 52: 1, 41: 2, 71: 1, 241: 1, 191: 1, 135: 1, 15: 2, 5: 1, 116: 1, 76: 1, 235: 1, 59: 1, 25: 2, 69: 1, 39: 1, 2: 7, 11: 2, 30: 1, 26: 2, 21: 2, 7: 3, 78: 1, 1: 6, 54: 1, 10: 2, 3: 3, 9: 3, 6: 2, 148: 1, 400.0: 1, 275: 1, 27: 2, 279: 1, 263: 1, 154: 1, 83: 1, 485: 1, 13: 1, 94: 1, 122: 1, 120: 1, 86: 1, 4: 1, 22: 1, 18: 1, 33: 1, 28: 1}"
19,1,80,0.6120542540963593,7.625,65.225,"{14: 5, 2: 10, 13: 2, 11: 3, 10: 4, 6: 3, 9: 2, 4: 11, 5: 4, 17: 1, 21: 1, 1: 10, 16: 2, 12: 2, 8: 2, 7: 5, 3: 6, 18: 1, 22: 1, 29: 1, 15: 2, 30: 1, 19: 1}","{96: 1, 205.0: 1, 144: 1, 139: 1, 106: 1, 79: 1, 20: 1, 52: 1, 41: 2, 26: 3, 241: 1, 191: 1, 135: 1, 15: 2, 5: 1, 116: 1, 76: 1, 235: 1, 59: 1, 25: 2, 69: 1, 39: 1, 2: 7, 11: 2, 30: 1, 21: 2, 7: 3, 78: 1, 1: 6, 54: 1, 10: 2, 3: 3, 9: 3, 6: 2, 148: 1, 400.0: 1, 275: 1, 27: 2, 279: 1, 263: 1, 154: 1, 83: 1, 440: 1, 13: 1, 94: 1, 122: 1, 120: 1, 86: 1, 4: 1, 22: 1, 18: 1, 33: 1, 28: 1}"
