edges_removed,number_of_strongly_connected_components,largest_strongly_connected_component_size,largest_strongly_connected_component_average_path_length,average_degree,average_weighted_degree,degree_distribution,weighted_degree_distribution
27,3,78,0.6518603503479412,7.425,61.65,"{13: 5, 0: 2, 11: 3, 14: 4, 10: 5, 6: 7, 8: 3, 4: 10, 16: 2, 20: 1, 1: 9, 5: 3, 18: 2, 7: 2, 2: 10, 3: 6, 22: 1, 28: 1, 30: 1, 9: 1, 19: 1, 12: 1}","{89: 1, 0: 2, 104: 1, 379: 1, 106: 2, 79: 1, 20: 1, 28: 2, 41: 2, 71: 1, 69: 1, 151: 1, 135: 1, 15: 3, 5: 1, 145: 1, 284: 1, 50: 1, 25: 2, 58: 1, 39: 1, 2: 7, 11: 4, 30: 1, 26: 2, 21: 2, 7: 3, 56: 1, 1: 5, 54: 1, 10: 2, 3: 4, 9: 2, 6: 2, 148: 1, 410: 1, 436: 1, 27: 1, 237: 1, 167: 1, 95: 1, 83: 1, 387: 1, 13: 1, 94: 1, 122: 1, 120: 1, 53: 1, 4: 1, 33: 1}"
28,3,78,0.6566803141271287,7.4,61.575,"{13: 6, 0: 2, 11: 3, 10: 5, 6: 7, 8: 3, 4: 9, 16: 2, 20: 1, 1: 9, 5: 3, 18: 2, 7: 2, 2: 10, 3: 7, 22: 1, 28: 1, 14: 3, 30: 1, 9: 1, 19: 1, 12: 1}","{89: 1, 0: 2, 104: 1, 376: 1, 106: 2, 79: 1, 20: 1, 28: 2, 41: 2, 71: 1, 69: 1, 151: 1, 135: 1, 15: 3, 5: 1, 145: 1, 284: 1, 50: 1, 25: 2, 58: 1, 39: 1, 2: 7, 11: 4, 30: 1, 26: 2, 21: 2, 7: 2, 56: 1, 1: 5, 54: 1, 10: 2, 3: 4, 9: 2, 6: 2, 148: 1, 410: 1, 436: 1, 27: 1, 237: 1, 167: 1, 95: 1, 83: 1, 387: 1, 13: 1, 94: 1, 122: 1, 120: 1, 53: 1, 4: 2, 33: 1}"
29,3,78,0.6601232887237414,7.375,61.4,"{13: 5, 0: 2, 11: 3, 12: 2, 10: 5, 6: 7, 8: 3, 4: 9, 16: 2, 20: 1, 1: 10, 5: 3, 18: 2, 7: 2, 2: 9, 3: 7, 22: 1, 28: 1, 14: 3, 30: 1, 9: 1, 19: 1}","{89: 1, 0: 2, 104: 1, 369: 1, 106: 2, 79: 1, 20: 1, 28: 2, 41: 2, 71: 1, 69: 1, 151: 1, 135: 1, 15: 3, 5: 1, 145: 1, 284: 1, 50: 1, 25: 2, 58: 1, 39: 1, 2: 7, 11: 3, 30: 1, 26: 2, 21: 2, 7: 2, 56: 1, 1: 5, 54: 1, 10: 2, 3: 4, 9: 2, 6: 2, 148: 1, 410: 1, 436: 1, 27: 1, 237: 1, 167: 1, 95: 1, 83: 1, 387: 1, 13: 1, 94: 1, 122: 1, 120: 1, 53: 1, 4: 3, 33: 1}"
30,3,78,0.6687095724800872,7.35,61.25,"{13: 5, 0: 2, 11: 2, 12: 2, 10: 6, 6: 6, 8: 3, 4: 9, 16: 2, 20: 1, 1: 10, 5: 4, 18: 2, 7: 2, 2: 9, 3: 7, 22: 1, 28: 1, 14: 3, 30: 1, 9: 1, 19: 1}","{89: 1, 0: 2, 104: 1, 369: 1, 100: 1, 79: 1, 20: 1, 28: 2, 41: 2, 71: 1, 69: 1, 151: 1, 135: 1, 15: 3, 5: 1, 106: 1, 145: 1, 284: 1, 50: 1, 25: 2, 58: 1, 39: 1, 2: 7, 11: 3, 30: 1, 26: 2, 21: 2, 7: 3, 56: 1, 1: 5, 54: 1, 10: 2, 3: 4, 9: 2, 6: 2, 148: 1, 410: 1, 436: 1, 27: 1, 237: 1, 167: 1, 95: 1, 83: 1, 387: 1, 94: 1, 122: 1, 120: 1, 53: 1, 4: 3, 33: 1}"
31,3,78,0.6766866598267768,7.325,60.9,"{13: 5, 0: 2, 11: 2, 12: 2, 9: 1, 10: 5, 6: 6, 8: 4, 4: 9, 16: 2, 20: 1, 1: 10, 5: 4, 18: 2, 7: 2, 2: 9, 3: 7, 22: 1, 28: 1, 14: 3, 30: 1, 19: 1}","{89: 1, 0: 2, 104: 1, 369: 1, 86: 1, 79: 1, 20: 1, 28: 2, 41: 2, 71: 1, 69: 1, 151: 1, 135: 1, 15: 3, 5: 1, 106: 1, 145: 1, 284: 1, 50: 1, 25: 2, 58: 1, 39: 1, 2: 7, 11: 3, 30: 1, 26: 1, 21: 2, 7: 3, 56: 1, 1: 5, 54: 1, 10: 2, 3: 4, 9: 2, 6: 2, 148: 1, 410: 1, 436: 1, 27: 1, 237: 1, 167: 1, 95: 1, 83: 1, 387: 1, 12: 1, 94: 1, 122: 1, 120: 1, 53: 1, 4: 3, 33: 1}"
32,3,78,0.6771675340298157,7.3,60.15,"{13: 5, 0: 2, 11: 2, 12: 2, 9: 2, 6: 6, 8: 4, 4: 9, 16: 2, 20: 1, 1: 10, 5: 4, 18: 2, 7: 2, 2: 9, 10: 4, 3: 7, 21: 1, 28: 1, 14: 3, 30: 1, 19: 1}","{89: 1, 0: 2, 104: 1, 369: 1, 86: 1, 49: 1, 20: 1, 28: 2, 41: 2, 71: 1, 69: 1, 151: 1, 135: 1, 15: 3, 5: 1, 106: 1, 145: 1, 284: 1, 50: 1, 25: 2, 58: 1, 39: 1, 2: 7, 11: 3, 30: 1, 26: 1, 21: 2, 7: 3, 56: 1, 1: 5, 54: 1, 10: 2, 3: 4, 9: 2, 6: 2, 148: 1, 410: 1, 406: 1, 27: 1, 237: 1, 167: 1, 95: 1, 83: 1, 387: 1, 12: 1, 94: 1, 122: 1, 120: 1, 53: 1, 4: 3, 33: 1}"
33,4,77,0.6566993046254775,7.275,60.125,"{13: 5, 0: 3, 11: 2, 12: 2, 9: 2, 6: 6, 7: 3, 4: 9, 16: 2, 20: 1, 1: 9, 5: 4, 18: 2, 8: 3, 2: 9, 10: 4, 3: 7, 21: 1, 28: 1, 14: 3, 30: 1, 19: 1}","{89: 1, 0: 3, 104: 1, 369: 1, 86: 1, 49: 1, 20: 1, 27: 2, 41: 2, 71: 1, 69: 1, 151: 1, 135: 1, 15: 3, 5: 1, 106: 1, 145: 1, 284: 1, 50: 1, 25: 2, 58: 1, 39: 1, 2: 7, 11: 3, 30: 1, 26: 1, 21: 2, 7: 3, 56: 1, 1: 4, 54: 1, 10: 2, 3: 4, 9: 2, 6: 2, 148: 1, 410: 1, 406: 1, 237: 1, 167: 1, 95: 1, 83: 1, 387: 1, 12: 1, 94: 1, 122: 1, 120: 1, 53: 1, 4: 3, 33: 1, 28: 1}"
34,4,77,0.657639915184015,7.25,59.6,"{13: 5, 0: 3, 11: 2, 12: 2, 9: 2, 6: 6, 7: 3, 3: 8, 16: 2, 20: 1, 1: 9, 4: 8, 5: 4, 18: 1, 8: 3, 2: 9, 10: 4, 17: 1, 21: 1, 28: 1, 14: 3, 30: 1, 19: 1}","{89: 1, 0: 3, 104: 1, 369: 1, 86: 1, 49: 1, 20: 2, 27: 2, 71: 1, 69: 1, 151: 1, 135: 1, 15: 3, 5: 1, 106: 1, 145: 1, 284: 1, 50: 1, 25: 2, 58: 1, 39: 1, 2: 7, 11: 3, 30: 1, 26: 1, 21: 2, 7: 3, 56: 1, 1: 4, 54: 1, 10: 2, 3: 4, 9: 2, 6: 2, 148: 1, 389: 1, 406: 1, 237: 1, 167: 1, 95: 1, 83: 1, 387: 1, 12: 1, 94: 1, 122: 1, 41: 1, 120: 1, 53: 1, 4: 3, 33: 1, 28: 1}"
35,4,77,0.6590145560310121,7.225,58.475,"{13: 5, 0: 3, 11: 2, 12: 2, 9: 2, 6: 5, 7: 3, 3: 8, 5: 5, 16: 2, 20: 1, 1: 9, 4: 8, 18: 1, 8: 3, 2: 9, 10: 4, 17: 1, 21: 1, 28: 1, 14: 3, 29: 1, 19: 1}","{89: 1, 0: 3, 104: 1, 369: 1, 86: 1, 49: 1, 20: 2, 27: 2, 26: 2, 69: 1, 151: 1, 135: 1, 15: 3, 5: 1, 106: 1, 145: 1, 284: 1, 50: 1, 25: 2, 58: 1, 39: 1, 2: 7, 11: 3, 30: 1, 21: 2, 7: 3, 56: 1, 1: 4, 54: 1, 10: 2, 3: 4, 9: 2, 6: 2, 148: 1, 389: 1, 406: 1, 237: 1, 167: 1, 95: 1, 83: 1, 342: 1, 12: 1, 94: 1, 122: 1, 41: 1, 120: 1, 53: 1, 4: 3, 33: 1, 28: 1}"
36,5,76,0.6514640477335651,7.2,58.425,"{13: 5, 0: 4, 11: 2, 12: 2, 9: 2, 6: 5, 7: 3, 3: 8, 5: 5, 15: 1, 20: 1, 1: 8, 4: 8, 18: 1, 8: 3, 2: 9, 10: 4, 17: 1, 21: 1, 28: 1, 14: 3, 29: 1, 16: 1, 19: 1}","{89: 1, 0: 4, 104: 1, 369: 1, 86: 1, 49: 1, 20: 2, 27: 2, 26: 2, 67: 1, 151: 1, 135: 1, 15: 3, 5: 1, 106: 1, 145: 1, 284: 1, 50: 1, 25: 2, 58: 1, 39: 1, 2: 6, 11: 3, 30: 1, 21: 2, 7: 3, 56: 1, 1: 4, 54: 1, 10: 2, 3: 4, 9: 2, 6: 2, 148: 1, 389: 1, 406: 1, 237: 1, 167: 1, 95: 1, 83: 1, 342: 1, 12: 1, 94: 1, 122: 1, 41: 1, 120: 1, 53: 1, 4: 3, 33: 1, 28: 1}"
