Id,Country,Locality,Bioregion,Latitude,Longitude,Type
Urospermum (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.352,3.177,Plant
Sonchus (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.352,3.177,Plant
Lavandula (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.352,3.177,Plant
Euphorbia (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.352,3.177,Plant
Convolvulus (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.352,3.177,Plant
Lobularia (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.352,3.177,Plant
Lathyrus (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.352,3.177,Plant
Thymelaea (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.352,3.177,Plant
Sonchus (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.354,3.175,Plant
Urospermum (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.354,3.175,Plant
Euphorbia (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.354,3.175,Plant
Carpobrotus (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.354,3.175,Plant
Lavandula (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.354,3.175,Plant
Convolvulus (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.354,3.175,Plant
Lobularia (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.354,3.175,Plant
Lathyrus (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.354,3.175,Plant
Thymelaea (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.354,3.175,Plant
Sonchus (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.417,3.158,Plant
Daucus (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.417,3.158,Plant
Echium (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.417,3.158,Plant
Convolvulus (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.417,3.158,Plant
Eryngium (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.417,3.158,Plant
Petrosedum (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.417,3.158,Plant
Sonchus (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.417,3.16,Plant
Convolvulus (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.417,3.16,Plant
Eryngium (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.417,3.16,Plant
Daucus (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.417,3.16,Plant
Opuntia (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.417,3.16,Plant
Urospermum (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.417,3.16,Plant
Petrosedum (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.417,3.16,Plant
Lavandula (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.324,3.293,Plant
Sonchus (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.324,3.293,Plant
Cistus (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.324,3.293,Plant
Salvia (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.324,3.293,Plant
Vicia (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.324,3.293,Plant
Sonchus (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.323,3.297,Plant
Helichrysum (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.323,3.297,Plant
Cistus (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.323,3.297,Plant
Lavandula (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.323,3.297,Plant
Carpobrotus (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.323,3.297,Plant
Tuberaria (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.323,3.297,Plant
Galactites (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.323,3.297,Plant
Urospermum (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.323,3.297,Plant
Salvia (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.323,3.297,Plant
Lathyrus (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.323,3.297,Plant
Sonchus (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.32,3.305,Plant
Urospermum (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.32,3.305,Plant
Galactites (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.32,3.305,Plant
Cistus (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.32,3.305,Plant
Lavandula (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.32,3.305,Plant
Bituminaria (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.32,3.305,Plant
Salvia (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.32,3.305,Plant
Sonchus (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.319,3.303,Plant
Galactites (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.319,3.303,Plant
Urospermum (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.319,3.303,Plant
Cistus (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.319,3.303,Plant
Helichrysum (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.319,3.303,Plant
Carpobrotus (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.319,3.303,Plant
Salvia (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.319,3.303,Plant
Lavandula (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.319,3.303,Plant
Sonchus (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.398,3.147,Plant
Urospermum (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.398,3.147,Plant
Daucus (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.398,3.147,Plant
Lomelosia (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.398,3.147,Plant
Convolvulus (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.398,3.147,Plant
