Source,Target,Weight
Abia (Baisoara),Achillea (Baisoara),1
Abia (Baisoara),Peucedanum (Baisoara),1
Abia (Telve),Ranunculus (Telve),1
Acanthiophilus (Menorca),Helichrysum (Menorca),1
Acanthoscelides (Menorca),Lupinus (Menorca),8
Acmaeodera (CanRefila),Cistus (CanRefila),1
Acmaeodera (Chios),Crepis (Chios),1
Acmaeodera (EsCabanells),Cistus (EsCabanells),1
Acmaeodera (Menorca),Convolvulus (Menorca),1
Acmaeodera (SaRitxola),Cistus (SaRitxola),1
Acmaeodera (SaRitxola),Convolvulus (SaRitxola),1
Acmaeodera (SonBaco),Cistus (SonBaco),1
Acmaeodera (SonForteza),Convolvulus (SonForteza),1
Acmaeodera (SonGual),Cistus (SonGual),4
Acmaeodera (SonGual),Hypochaeris (SonGual),2
Acmaeodera (SonGual),Teucrium (SonGual),2
Acmaeodera (UIB),Convolvulus (UIB),1
Acmaeodera (sHeretat),Convolvulus (sHeretat),1
Acmaeoderella (CarrerBetlem),Teucrium (CarrerBetlem),1
Acmaeoderella (Chios),Daucus (Chios),18
Acmaeoderella (Chios),Pimpinella (Chios),3
Acmaeoderella (Chios),Thymbra (Chios),1
Acmaeoderella (Muro),Daucus (Muro),1
Acmaeoderella (Sierra de Guadarrama),Jurinea (Sierra de Guadarrama),2
Acmaeoderella (Sierra de Guadarrama),Leucanthemopsis (Sierra de Guadarrama),4
Acmaeoderella (Sierra de Guadarrama),Senecio (Sierra de Guadarrama),10
Acmaeoderella (sHeretat),Scabiosa (sHeretat),1
Acontia (Cheile Turzii),Centaurea (Cheile Turzii),1
Acontia (Cheile Turzii),Knautia (Cheile Turzii),1
Acontia (Menorca),Glebionis (Menorca),1
Acontia (Menorca),Malva (Menorca),4
Acontia (Suchov),Betonica (Suchov),2
Actina (CÃ´te d'or),Anthriscus (CÃ´te d'or),1
Acupalpus (Scania),Ranunculus (Scania),1
Adalia (Coimbra),Spiraea (Coimbra),1
Adalia (HavranickÃ© vÅesoviÅ¡tÄ),Hypericum (HavranickÃ© vÅesoviÅ¡tÄ),1
Adela (CÃ´te d'or),Barbarea (CÃ´te d'or),2
Adela (Horbylunde_2005),Salix (Horbylunde_2005),4
Adela (Isen_Bjerg_2005),Salix (Isen_Bjerg_2005),2
Adela (Skov_Olesen_2004),Salix (Skov_Olesen_2004),6
Adelphocoris (Scania),Achillea (Scania),4
Adelphocoris (Scania),Campanula (Scania),4
