Id,Order,Family,Genus,Country,Locality,Bioregion,Type
Rosa canina (La Louvi̬re),Rosales,Rosaceae,Rosa,Belgium,La Louvi̬re,Atlantic,Plant
Salix alba (La Louvi̬re),Malpighiales,Salicaceae,Salix,Belgium,La Louvi̬re,Atlantic,Plant
Arctium tomentosum (La Louvi̬re),Asterales,Asteraceae,Arctium,Belgium,La Louvi̬re,Atlantic,Plant
Lamium purpureum (La Louvi̬re),Lamiales,Lamiaceae,Lamium,Belgium,La Louvi̬re,Atlantic,Plant
Convolvulus arvensis (La Louvi̬re),Solanales,Convolvulaceae,Convolvulus,Belgium,La Louvi̬re,Atlantic,Plant
Centaurea jacea (Mons),Asterales,Asteraceae,Centaurea,Belgium,Mons,Atlantic,Plant
Malva alcea (Mons),Malvales,Malvaceae,Malva,Belgium,Mons,Atlantic,Plant
Geranium pyrenaicum (Mons),Geraniales,Geraniaceae,Geranium,Belgium,Mons,Atlantic,Plant
Knautia arvensis (Mons),Dipsacales,Caprifoliaceae,Knautia,Belgium,Mons,Atlantic,Plant
Leucanthemum vulgare (Mons),Asterales,Asteraceae,Leucanthemum,Belgium,Mons,Atlantic,Plant
Onobrychis viciifolia (Mons),Fabales,Fabaceae,Onobrychis,Belgium,Mons,Atlantic,Plant
