Id,Country,Locality,Bioregion,Latitude,Longitude,Type
Malvales (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.319,3.303,Plant
Caryophyllales (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.319,3.303,Plant
Lamiales (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.319,3.303,Plant
Asterales (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.398,3.147,Plant
Apiales (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.398,3.147,Plant
Dipsacales (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.398,3.147,Plant
Solanales (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.398,3.147,Plant
Asterales (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.398,3.15,Plant
Caryophyllales (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.398,3.15,Plant
Apiales (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.398,3.15,Plant
Dipsacales (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.398,3.15,Plant
Saxifragales (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.398,3.15,Plant
Asterales (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.301,3.229,Plant
Saxifragales (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.301,3.229,Plant
Apiales (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.301,3.229,Plant
Sapindales (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.301,3.229,Plant
Malvales (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.301,3.229,Plant
Dipsacales (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.301,3.229,Plant
Fabales (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.301,3.229,Plant
Caryophyllales (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.3,3.231,Plant
Sapindales (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.3,3.231,Plant
Saxifragales (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.3,3.231,Plant
Apiales (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.3,3.231,Plant
Fabales (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.3,3.231,Plant
Asterales (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.3,3.231,Plant
Malpighiales (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,42.3,3.231,Plant
Malvales (Chios),Greece,Chios,Mediterranean,38.2735,26.0444,Plant
Asterales (Chios),Greece,Chios,Mediterranean,38.2735,26.0444,Plant
Lamiales (Chios),Greece,Chios,Mediterranean,38.2735,26.0444,Plant
Fabales (Chios),Greece,Chios,Mediterranean,38.2735,26.0444,Plant
Malpighiales (Chios),Greece,Chios,Mediterranean,38.2735,26.0444,Plant
Solanales (Chios),Greece,Chios,Mediterranean,38.2735,26.0444,Plant
Apiales (Chios),Greece,Chios,Mediterranean,38.2735,26.0444,Plant
Lamiales (Chios),Greece,Chios,Mediterranean,38.2041,26.0221,Plant
Fabales (Chios),Greece,Chios,Mediterranean,38.2041,26.0221,Plant
Malvales (Chios),Greece,Chios,Mediterranean,38.2041,26.0221,Plant
Asterales (Chios),Greece,Chios,Mediterranean,38.2041,26.0221,Plant
Apiales (Chios),Greece,Chios,Mediterranean,38.2041,26.0221,Plant
Solanales (Chios),Greece,Chios,Mediterranean,38.2041,26.0221,Plant
Asterales (Chios),Greece,Chios,Mediterranean,38.2155,26.1016,Plant
Apiales (Chios),Greece,Chios,Mediterranean,38.2155,26.1016,Plant
Fabales (Chios),Greece,Chios,Mediterranean,38.2155,26.1016,Plant
Lamiales (Chios),Greece,Chios,Mediterranean,38.2155,26.1016,Plant
Ranunculales (Chios),Greece,Chios,Mediterranean,38.2155,26.1016,Plant
Asparagales (Chios),Greece,Chios,Mediterranean,38.2155,26.1016,Plant
Malvales (Chios),Greece,Chios,Mediterranean,38.2155,26.1016,Plant
Brassicales (Chios),Greece,Chios,Mediterranean,38.2155,26.1016,Plant
Malvales (Chios),Greece,Chios,Mediterranean,38.208,25.9283,Plant
Asparagales (Chios),Greece,Chios,Mediterranean,38.208,25.9283,Plant
Malpighiales (Chios),Greece,Chios,Mediterranean,38.208,25.9283,Plant
Lamiales (Chios),Greece,Chios,Mediterranean,38.208,25.9283,Plant
Saxifragales (Chios),Greece,Chios,Mediterranean,38.208,25.9283,Plant
Asterales (Chios),Greece,Chios,Mediterranean,38.208,25.9283,Plant
Gentianales (Chios),Greece,Chios,Mediterranean,38.208,25.9283,Plant
