Camisano Vicentino,Borgoricco,Piazzola sul Brenta
"[90, 88, 85, 83, 81, 74, 73, 71, 69, 66, 65, 63, 59, 55, 54, 52, 51, 50, 47, 44, 43, 37, 33, 32, 30, 26, 9, 9, 4, 4, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[83, 80, 74, 69, 66, 62, 59, 57, 56, 53, 50, 46, 44, 43, 42, 39, 36, 34, 29, 27, 25, 24, 18, 11, 5, 5, 4, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[80, 79, 77, 74, 72, 71, 70, 68, 66, 64, 62, 61, 56, 55, 53, 51, 47, 46, 42, 37, 35, 22, 11, 7, 7, 5, 4, 4, 4, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
"[2, 3, 5, 6, 7, 13, 13, 14, 15, 17, 17, 18, 20, 23, 23, 24, 24, 24, 26, 28, 28, 32, 34, 34, 35, 36, 41, 44, 47, 49, 50, 51, 52, 52, 51, 50, 49, 49, 49, 48, 47, 46, 45, 45, 44, 43, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 32, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","[1, 3, 8, 12, 14, 17, 19, 20, 20, 22, 24, 26, 27, 27, 27, 28, 30, 31, 33, 34, 35, 35, 37, 39, 42, 45, 47, 48, 49, 50, 49, 48, 47, 46, 45, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 33, 32, 31, 30, 29, 29, 28, 27, 26, 25, 24, 23, 22, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]","[1, 1, 2, 4, 5, 5, 5, 6, 7, 8, 9, 9, 13, 13, 14, 15, 17, 17, 20, 21, 22, 25, 29, 31, 34, 35, 37, 39, 40, 41, 42, 41, 40, 40, 40, 39, 38, 37, 37, 36, 35, 35, 34, 33, 32, 31, 31, 31, 30, 29, 29, 28, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]"
