Id,Country,Locality,Bioregion,Type
Pieridae (Coimbra),Portugal,Coimbra,Mediterranean,Pollinator
Halictidae (Coimbra),Portugal,Coimbra,Mediterranean,Pollinator
Nymphalidae (Coimbra),Portugal,Coimbra,Mediterranean,Pollinator
Muscidae (Coimbra),Portugal,Coimbra,Mediterranean,Pollinator
Paridae (Coimbra),Portugal,Coimbra,Mediterranean,Pollinator
Pentatomidae (Coimbra),Portugal,Coimbra,Mediterranean,Pollinator
Anthocoridae (Coimbra),Portugal,Coimbra,Mediterranean,Pollinator
Andrenidae (Coimbra),Portugal,Coimbra,Mediterranean,Pollinator
Colletidae (Coimbra),Portugal,Coimbra,Mediterranean,Pollinator
Eumenidae (Coimbra),Portugal,Coimbra,Mediterranean,Pollinator
Scarabaeidae (Coimbra),Portugal,Coimbra,Mediterranean,Pollinator
Megachilidae (Coimbra),Portugal,Coimbra,Mediterranean,Pollinator
Dermestidae (Coimbra),Portugal,Coimbra,Mediterranean,Pollinator
Coccinellidae (Coimbra),Portugal,Coimbra,Mediterranean,Pollinator
Tettigoniidae (Coimbra),Portugal,Coimbra,Mediterranean,Pollinator
Calliphoridae (Coimbra),Portugal,Coimbra,Mediterranean,Pollinator
Tenebrionidae (Coimbra),Portugal,Coimbra,Mediterranean,Pollinator
Oedemeridae (Coimbra),Portugal,Coimbra,Mediterranean,Pollinator
Melyridae (Coimbra),Portugal,Coimbra,Mediterranean,Pollinator
Cephidae (C̫te d'or),France,C̫te d'or,Continental,Pollinator
Apidae (C̫te d'or),France,C̫te d'or,Continental,Pollinator
Syrphidae (C̫te d'or),France,C̫te d'or,Continental,Pollinator
Andrenidae (C̫te d'or),France,C̫te d'or,Continental,Pollinator
Halictidae (C̫te d'or),France,C̫te d'or,Continental,Pollinator
Stratiomyidae (C̫te d'or),France,C̫te d'or,Continental,Pollinator
Empididae (C̫te d'or),France,C̫te d'or,Continental,Pollinator
Lycaenidae (C̫te d'or),France,C̫te d'or,Continental,Pollinator
Megachilidae (C̫te d'or),France,C̫te d'or,Continental,Pollinator
