Source,Target,Weight
Blattodea (Horbylunde_2005),Ericales (Horbylunde_2005),1
Blattodea (Isen_Bjerg_2005),Ericales (Isen_Bjerg_2005),2
Blattodea (Menorca),Lamiales (Menorca),1
Blattodea (Skov_Olesen_2004),Asterales (Skov_Olesen_2004),1
Blattodea (SonDoblons),Malvales (SonDoblons),2
Coleoptera (AloeVera),Apiales (AloeVera),96
Coleoptera (AloeVera),Asparagales (AloeVera),8
Coleoptera (AloeVera),Asterales (AloeVera),41
Coleoptera (AloeVera),Gentianales (AloeVera),1
Coleoptera (AloeVera),Lamiales (AloeVera),2
Coleoptera (AloeVera),Malvales (AloeVera),158
Coleoptera (Anafi),Asterales (Anafi),1
Coleoptera (Aznalcazar),Malvales (Aznalcazar),2
Coleoptera (BÃ­lÃ¡ Hora),Fabales (BÃ­lÃ¡ Hora),2
Coleoptera (BÃ­lÃ¡ Hora),Ranunculales (BÃ­lÃ¡ Hora),14
Coleoptera (BÄstvina),Asterales (BÄstvina),23
Coleoptera (BÄstvina),Dipsacales (BÄstvina),3
Coleoptera (CanRefila),Asparagales (CanRefila),38
Coleoptera (CanRefila),Asterales (CanRefila),1
Coleoptera (CanRefila),Malvales (CanRefila),243
Coleoptera (CanRefila),Poales (CanRefila),2
Coleoptera (CanRefila),Sapindales (CanRefila),1
Coleoptera (CanVolaVola),Asparagales (CanVolaVola),9
Coleoptera (CanVolaVola),Asterales (CanVolaVola),2
Coleoptera (CanVolaVola),Lamiales (CanVolaVola),3
Coleoptera (CanVolaVola),Malvales (CanVolaVola),111
Coleoptera (Cap de Creus Natural Park),Apiales (Cap de Creus Natural Park),96
Coleoptera (Cap de Creus Natural Park),Asterales (Cap de Creus Natural Park),102
Coleoptera (Cap de Creus Natural Park),Brassicales (Cap de Creus Natural Park),2
Coleoptera (Cap de Creus Natural Park),Caryophyllales (Cap de Creus Natural Park),110
Coleoptera (Cap de Creus Natural Park),Dipsacales (Cap de Creus Natural Park),4
Coleoptera (Cap de Creus Natural Park),Fabales (Cap de Creus Natural Park),5
Coleoptera (Cap de Creus Natural Park),Lamiales (Cap de Creus Natural Park),2
Coleoptera (Cap de Creus Natural Park),Malvales (Cap de Creus Natural Park),105
Coleoptera (Cap de Creus Natural Park),Sapindales (Cap de Creus Natural Park),8
Coleoptera (Cap de Creus Natural Park),Saxifragales (Cap de Creus Natural Park),4
Coleoptera (Cap de Creus Natural Park),Solanales (Cap de Creus Natural Park),14
Coleoptera (CarrerBetlem),Asparagales (CarrerBetlem),247
Coleoptera (CarrerBetlem),Lamiales (CarrerBetlem),1
