Id,Country,Locality,Bioregion,Type
Asterales (Cap de Creus Natural Park) (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,Plant
Lamiales (Cap de Creus Natural Park) (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,Plant
Malpighiales (Cap de Creus Natural Park) (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,Plant
Solanales (Cap de Creus Natural Park) (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,Plant
Brassicales (Cap de Creus Natural Park) (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,Plant
Fabales (Cap de Creus Natural Park) (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,Plant
Malvales (Cap de Creus Natural Park) (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,Plant
Caryophyllales (Cap de Creus Natural Park) (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,Plant
Apiales (Cap de Creus Natural Park) (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,Plant
Boraginales (Cap de Creus Natural Park) (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,Plant
Saxifragales (Cap de Creus Natural Park) (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,Plant
Dipsacales (Cap de Creus Natural Park) (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,Plant
Sapindales (Cap de Creus Natural Park) (Cap de Creus Natural Park),Spain,Cap de Creus Natural Park,Mediterranean,Plant
Malvales (Chios) (Chios),Greece,Chios,Mediterranean,Plant
Asterales (Chios) (Chios),Greece,Chios,Mediterranean,Plant
Lamiales (Chios) (Chios),Greece,Chios,Mediterranean,Plant
Fabales (Chios) (Chios),Greece,Chios,Mediterranean,Plant
Malpighiales (Chios) (Chios),Greece,Chios,Mediterranean,Plant
Solanales (Chios) (Chios),Greece,Chios,Mediterranean,Plant
Apiales (Chios) (Chios),Greece,Chios,Mediterranean,Plant
Ranunculales (Chios) (Chios),Greece,Chios,Mediterranean,Plant
Asparagales (Chios) (Chios),Greece,Chios,Mediterranean,Plant
Brassicales (Chios) (Chios),Greece,Chios,Mediterranean,Plant
Saxifragales (Chios) (Chios),Greece,Chios,Mediterranean,Plant
Gentianales (Chios) (Chios),Greece,Chios,Mediterranean,Plant
Boraginales (Chios) (Chios),Greece,Chios,Mediterranean,Plant
Dipsacales (Chios) (Chios),Greece,Chios,Mediterranean,Plant
Geraniales (Spiennes) (Spiennes),Belgium,Spiennes,Atlantic,Plant
Rosales (Spiennes) (Spiennes),Belgium,Spiennes,Atlantic,Plant
Lamiales (Spiennes) (Spiennes),Belgium,Spiennes,Atlantic,Plant
Ranunculales (Spiennes) (Spiennes),Belgium,Spiennes,Atlantic,Plant
Fabales (Spiennes) (Spiennes),Belgium,Spiennes,Atlantic,Plant
Asterales (Spiennes) (Spiennes),Belgium,Spiennes,Atlantic,Plant
Boraginales (Spiennes) (Spiennes),Belgium,Spiennes,Atlantic,Plant
Fabales (Harmignies) (Harmignies),Belgium,Harmignies,Atlantic,Plant
Lamiales (Harmignies) (Harmignies),Belgium,Harmignies,Atlantic,Plant
Asterales (Harmignies) (Harmignies),Belgium,Harmignies,Atlantic,Plant
Malpighiales (Harmignies) (Harmignies),Belgium,Harmignies,Atlantic,Plant
Apiales (Harmignies) (Harmignies),Belgium,Harmignies,Atlantic,Plant
Rosales (Harmignies) (Harmignies),Belgium,Harmignies,Atlantic,Plant
Brassicales (Mons) (Mons),Belgium,Mons,Atlantic,Plant
Geraniales (Mons) (Mons),Belgium,Mons,Atlantic,Plant
Solanales (Mons) (Mons),Belgium,Mons,Atlantic,Plant
Fabales (Mons) (Mons),Belgium,Mons,Atlantic,Plant
Lamiales (Mons) (Mons),Belgium,Mons,Atlantic,Plant
Rosales (Mons) (Mons),Belgium,Mons,Atlantic,Plant
Caryophyllales (Mons) (Mons),Belgium,Mons,Atlantic,Plant
Fabales (Havr̩) (Havr̩),Belgium,Havr̩,Atlantic,Plant
Lamiales (Havr̩) (Havr̩),Belgium,Havr̩,Atlantic,Plant
Apiales (Havr̩) (Havr̩),Belgium,Havr̩,Atlantic,Plant
Asterales (Havr̩) (Havr̩),Belgium,Havr̩,Atlantic,Plant
Boraginales (Havr̩) (Havr̩),Belgium,Havr̩,Atlantic,Plant
Caryophyllales (Havr̩) (Havr̩),Belgium,Havr̩,Atlantic,Plant
Myrtales (Beloeil) (Beloeil),Belgium,Beloeil,Atlantic,Plant
Asterales (Beloeil) (Beloeil),Belgium,Beloeil,Atlantic,Plant
Malpighiales (Beloeil) (Beloeil),Belgium,Beloeil,Atlantic,Plant
Ranunculales (Beloeil) (Beloeil),Belgium,Beloeil,Atlantic,Plant
Rosales (Beloeil) (Beloeil),Belgium,Beloeil,Atlantic,Plant
Lamiales (Beloeil) (Beloeil),Belgium,Beloeil,Atlantic,Plant
Fabales (Beloeil) (Beloeil),Belgium,Beloeil,Atlantic,Plant
Rosales (Bernissart) (Bernissart),Belgium,Bernissart,Atlantic,Plant
Fabales (Bernissart) (Bernissart),Belgium,Bernissart,Atlantic,Plant
Boraginales (Bernissart) (Bernissart),Belgium,Bernissart,Atlantic,Plant
Brassicales (Bernissart) (Bernissart),Belgium,Bernissart,Atlantic,Plant
Malpighiales (Bernissart) (Bernissart),Belgium,Bernissart,Atlantic,Plant
Ericales (Bernissart) (Bernissart),Belgium,Bernissart,Atlantic,Plant
Brassicales (Spiennes) (Spiennes),Belgium,Spiennes,Atlantic,Plant
Dipsacales (Harmignies) (Harmignies),Belgium,Harmignies,Atlantic,Plant
Boraginales (Harmignies) (Harmignies),Belgium,Harmignies,Atlantic,Plant
Ranunculales (Harmignies) (Harmignies),Belgium,Harmignies,Atlantic,Plant
Brassicales (Harmignies) (Harmignies),Belgium,Harmignies,Atlantic,Plant
Asterales (Hyon) (Hyon),Belgium,Hyon,Atlantic,Plant
Caryophyllales (Hyon) (Hyon),Belgium,Hyon,Atlantic,Plant
Fabales (Hyon) (Hyon),Belgium,Hyon,Atlantic,Plant
Lamiales (Hyon) (Hyon),Belgium,Hyon,Atlantic,Plant
Malvales (Hyon) (Hyon),Belgium,Hyon,Atlantic,Plant
Apiales (Hyon) (Hyon),Belgium,Hyon,Atlantic,Plant
Dipsacales (Havr̩) (Havr̩),Belgium,Havr̩,Atlantic,Plant
Myrtales (Havr̩) (Havr̩),Belgium,Havr̩,Atlantic,Plant
Geraniales (Havr̩) (Havr̩),Belgium,Havr̩,Atlantic,Plant
Rosales (Havr̩) (Havr̩),Belgium,Havr̩,Atlantic,Plant
Asterales (P̩ruwelz) (P̩ruwelz),Belgium,P̩ruwelz,Atlantic,Plant
Fabales (P̩ruwelz) (P̩ruwelz),Belgium,P̩ruwelz,Atlantic,Plant
Geraniales (P̩ruwelz) (P̩ruwelz),Belgium,P̩ruwelz,Atlantic,Plant
Ranunculales (P̩ruwelz) (P̩ruwelz),Belgium,P̩ruwelz,Atlantic,Plant
Brassicales (P̩ruwelz) (P̩ruwelz),Belgium,P̩ruwelz,Atlantic,Plant
Asterales (Hensies) (Hensies),Belgium,Hensies,Atlantic,Plant
Malpighiales (Hensies) (Hensies),Belgium,Hensies,Atlantic,Plant
Boraginales (Hensies) (Hensies),Belgium,Hensies,Atlantic,Plant
Lamiales (Hensies) (Hensies),Belgium,Hensies,Atlantic,Plant
Rosales (Hensies) (Hensies),Belgium,Hensies,Atlantic,Plant
Cornales (Hensies) (Hensies),Belgium,Hensies,Atlantic,Plant
Asterales (Mons) (Mons),Belgium,Mons,Atlantic,Plant
Asterales (Spienne) (Spienne),Belgium,Spienne,Atlantic,Plant
Fabales (Spienne) (Spienne),Belgium,Spienne,Atlantic,Plant
Caryophyllales (Spienne) (Spienne),Belgium,Spienne,Atlantic,Plant
Apiales (La Louvi̬re) (La Louvi̬re),Belgium,La Louvi̬re,Atlantic,Plant
Asterales (La Louvi̬re) (La Louvi̬re),Belgium,La Louvi̬re,Atlantic,Plant
Rosales (La Louvi̬re) (La Louvi̬re),Belgium,La Louvi̬re,Atlantic,Plant
Malpighiales (La Louvi̬re) (La Louvi̬re),Belgium,La Louvi̬re,Atlantic,Plant
Lamiales (La Louvi̬re) (La Louvi̬re),Belgium,La Louvi̬re,Atlantic,Plant
Solanales (La Louvi̬re) (La Louvi̬re),Belgium,La Louvi̬re,Atlantic,Plant
Malvales (Mons) (Mons),Belgium,Mons,Atlantic,Plant
Dipsacales (Mons) (Mons),Belgium,Mons,Atlantic,Plant
Boraginales (Tournai) (Tournai),Belgium,Tournai,Atlantic,Plant
Rosales (Tournai) (Tournai),Belgium,Tournai,Atlantic,Plant
Fabales (Tournai) (Tournai),Belgium,Tournai,Atlantic,Plant
Malpighiales (Tournai) (Tournai),Belgium,Tournai,Atlantic,Plant
Lamiales (Tournai) (Tournai),Belgium,Tournai,Atlantic,Plant
Cornales (Tournai) (Tournai),Belgium,Tournai,Atlantic,Plant
Boraginales (Hyon) (Hyon),Belgium,Hyon,Atlantic,Plant
Malpighiales (Hyon) (Hyon),Belgium,Hyon,Atlantic,Plant
Cucurbitales (Mons) (Mons),Belgium,Mons,Atlantic,Plant
Apiales (Mons) (Mons),Belgium,Mons,Atlantic,Plant
Malpighiales (Mons) (Mons),Belgium,Mons,Atlantic,Plant
Boraginales (Mons) (Mons),Belgium,Mons,Atlantic,Plant
Ranunculales (Mons) (Mons),Belgium,Mons,Atlantic,Plant
Cucurbitales (Harmignies) (Harmignies),Belgium,Harmignies,Atlantic,Plant
Ranunculales (La Louvi̬re) (La Louvi̬re),Belgium,La Louvi̬re,Atlantic,Plant
Myrtales (La Louvi̬re) (La Louvi̬re),Belgium,La Louvi̬re,Atlantic,Plant
Malvales (La Louvi̬re) (La Louvi̬re),Belgium,La Louvi̬re,Atlantic,Plant
Brassicales (Saint-Ghislain) (Saint-Ghislain),Belgium,Saint-Ghislain,Atlantic,Plant
Asterales (Saint-Ghislain) (Saint-Ghislain),Belgium,Saint-Ghislain,Atlantic,Plant
Boraginales (Saint-Ghislain) (Saint-Ghislain),Belgium,Saint-Ghislain,Atlantic,Plant
Lamiales (Saint-Ghislain) (Saint-Ghislain),Belgium,Saint-Ghislain,Atlantic,Plant
Dipsacales (Saint-Ghislain) (Saint-Ghislain),Belgium,Saint-Ghislain,Atlantic,Plant
Malpighiales (Saint-Ghislain) (Saint-Ghislain),Belgium,Saint-Ghislain,Atlantic,Plant
Ranunculales (Hyon) (Hyon),Belgium,Hyon,Atlantic,Plant
Asterales (Ecaussines) (Ecaussines),Belgium,Ecaussines,Atlantic,Plant
Fabales (Ecaussines) (Ecaussines),Belgium,Ecaussines,Atlantic,Plant
Cornales (Ecaussines) (Ecaussines),Belgium,Ecaussines,Atlantic,Plant
Rosales (Ecaussines) (Ecaussines),Belgium,Ecaussines,Atlantic,Plant
Boraginales (Ecaussines) (Ecaussines),Belgium,Ecaussines,Atlantic,Plant
Dipsacales (Ecaussines) (Ecaussines),Belgium,Ecaussines,Atlantic,Plant
Fabales (Obourg) (Obourg),Belgium,Obourg,Atlantic,Plant
Dipsacales (Obourg) (Obourg),Belgium,Obourg,Atlantic,Plant
Lamiales (Obourg) (Obourg),Belgium,Obourg,Atlantic,Plant
Asterales (Obourg) (Obourg),Belgium,Obourg,Atlantic,Plant
Asterales (Jemappes) (Jemappes),Belgium,Jemappes,Atlantic,Plant
Rosales (Jemappes) (Jemappes),Belgium,Jemappes,Atlantic,Plant
Apiales (Antoing) (Antoing),Belgium,Antoing,Atlantic,Plant
Asterales (Antoing) (Antoing),Belgium,Antoing,Atlantic,Plant
Boraginales (Antoing) (Antoing),Belgium,Antoing,Atlantic,Plant
Geraniales (Antoing) (Antoing),Belgium,Antoing,Atlantic,Plant
Fabales (Antoing) (Antoing),Belgium,Antoing,Atlantic,Plant
Boraginales (Obourg) (Obourg),Belgium,Obourg,Atlantic,Plant
Rosales (Obourg) (Obourg),Belgium,Obourg,Atlantic,Plant
Myrtales (Obourg) (Obourg),Belgium,Obourg,Atlantic,Plant
Brassicales (Obourg) (Obourg),Belgium,Obourg,Atlantic,Plant
Ericales (Braine-le-Comte) (Braine-le-Comte),Belgium,Braine-le-Comte,Atlantic,Plant
Boraginales (Nouvelles) (Nouvelles),Belgium,Nouvelles,Atlantic,Plant
Geraniales (Nouvelles) (Nouvelles),Belgium,Nouvelles,Atlantic,Plant
Asterales (Nouvelles) (Nouvelles),Belgium,Nouvelles,Atlantic,Plant
Apiales (Nouvelles) (Nouvelles),Belgium,Nouvelles,Atlantic,Plant
Solanales (Nouvelles) (Nouvelles),Belgium,Nouvelles,Atlantic,Plant
Dipsacales (Nouvelles) (Nouvelles),Belgium,Nouvelles,Atlantic,Plant
Malvales (Nouvelles) (Nouvelles),Belgium,Nouvelles,Atlantic,Plant
Lamiales (Nouvelles) (Nouvelles),Belgium,Nouvelles,Atlantic,Plant
Fabales (Nouvelles) (Nouvelles),Belgium,Nouvelles,Atlantic,Plant
