Locality,Strategy,AUC_structural,AUC_motif_drift
Cap de Creus Natural Park,random,0.5248678682731707,0.04692537380053622
Cap de Creus Natural Park,degree,0.19760324482531544,0.3601433034232284
Cap de Creus Natural Park,betweenness,0.22243747620492035,0.3300540542069619
Chios,random,0.525698462077513,0.04940797261625619
Chios,degree,0.12287255681686542,0.4171301905279154
Chios,betweenness,0.13785539734023902,0.39559078053060653
Spiennes,random,0.46627742056854315,0.08950367544384608
Spiennes,degree,0.09909966587009257,0.414032764740768
Spiennes,betweenness,0.12068092752135019,0.4120779458572101
Harmignies,random,0.4552425024290247,0.0774811775596661
Harmignies,degree,0.0726741762476306,0.47023468827416215
Harmignies,betweenness,0.08139676696054648,0.46575350153229395
Mons,random,0.4893457000079622,0.035924442764155906
Mons,degree,0.08664438226985721,0.4315579314721683
Mons,betweenness,0.10574182032549073,0.431954236011599
Havré,random,0.42952275740685175,0.03849786572891054
Havré,degree,0.07993187980320333,0.42012098944125886
Havré,betweenness,0.10996548794342911,0.37426020771091195
Beloeil,random,0.4469337387655534,0.035511445886754464
Beloeil,degree,0.051873290402587216,0.5197355441010263
Beloeil,betweenness,0.07347955199113271,0.5117783483265717
Bernissart,random,0.44049062049062043,0.1317788272333727
Bernissart,degree,0.11565656565656567,0.5318181818181817
Bernissart,betweenness,0.14163059163059166,0.5318181818181817
Hyon,random,0.5698183825405816,0.04552439592165455
Hyon,degree,0.14402252025286882,0.36065267037983295
Hyon,betweenness,0.156821601810649,0.35794009960391016
Péruwelz,random,0.3501984126984127,0.27931547619047614
Péruwelz,degree,0.11969696969696968,0.4472222222222222
Péruwelz,betweenness,0.12045454545454545,0.45576923076923076
Hensies,random,0.4586046332140082,0.018085637397091955
Hensies,degree,0.06089886675824176,0.475
Hensies,betweenness,0.14522877296314796,0.475
Spienne,random,0.523849598114304,0.05265507187820861
Spienne,degree,0.1802303089067795,0.3675271989673612
Spienne,betweenness,0.17570542202895142,0.3839977872026553
La Louvière,random,0.3563907324315478,0.06355253117549114
La Louvière,degree,0.07228540092832085,0.5042870902059591
La Louvière,betweenness,0.10821947889026258,0.5042870902059591
Tournai,random,0.3769047619047619,0.3610400682011935
Tournai,degree,0.09722222222222222,0.55
Tournai,betweenness,0.09722222222222222,0.55
Saint-Ghislain,random,0.31713130619380625,0.2993313953488372
Saint-Ghislain,degree,0.15657883782883783,0.3690406976744186
Saint-Ghislain,betweenness,0.17985417360417363,0.389922480620155
Ecaussines,random,0.15445209327341125,0.3558578987150416
