Group,N,Pearson_r,Spearman_rho
Overall,825,-0.9118726476153814,-0.8434562225520688
Strategy=betweenness,275,-0.5030945861358,-0.5594090170777173
Strategy=degree,275,-0.5410800468915623,-0.6222863514808902
Strategy=random,275,-0.5267132454448938,-0.43881467842920374
